actual_pre,actual_post,actual_diff,null_pre_mean,null_post_mean,null_diff_mean,resid_pre,resid_post,resid_diff,p_pre_upper,p_post_upper,p_diff_upper,events,birds,pre_events,post_events,raw_diff_ci_low,raw_diff_ci_high,resid_pre_ci_low,resid_pre_ci_high,resid_post_ci_low,resid_post_ci_high,resid_diff_ci_low,resid_diff_ci_high,delta_m,holm15_direction_p,holm30_pre_p,holm30_post_p,direction_pass,pre_side_pass,post_side_pass
0.043576347712571,0.35287197697697154,0.3092956292644005,0.11321213276545586,0.11324457708010445,3.244431464859865e-05,-0.06963578505288462,0.2396273998968672,0.30926318494975186,1.0,0.0001999600079984003,0.0001999600079984003,8556,19,315,1654,0.19507176518617664,0.4434689093939796,-0.11723574210054816,-0.03406997902300562,0.13969944612733096,0.34834496919826624,0.19475950913975854,0.4388091832292704,10,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.0360986825643763,0.3441971272727919,0.3080984447084156,0.11302829590146805,0.11318927043462768,0.00016097453315965275,-0.0769296133370927,0.23100785683816333,0.307937470175256,1.0,0.0001999600079984003,0.0001999600079984003,6412,19,239,1279,0.19117653370209292,0.44472374917942564,-0.1326103808185331,-0.03602280119831748,0.13699968172185692,0.3380446300535574,0.1917705059596419,0.44450785134000986,20,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.033073149883207684,0.3445758076692501,0.3115026577860424,0.11343077630412322,0.11348931343950053,5.853713537729706e-05,-0.08035762642091593,0.23108649422974925,0.3114441206506651,1.0,0.0001999600079984003,0.0001999600079984003,5136,19,190,1072,0.19280357099175469,0.4506605370079321,-0.13806525087548938,-0.039050644319033836,0.13138816974817344,0.34020203304875846,0.1909086597630762,0.4513217682128851,30,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.03443892218180871,0.3524771325952301,0.3180382104134214,0.11334534556480444,0.11360881407488314,0.0002634685100786921,-0.07890642338299585,0.23886831852034693,0.31777474190334276,1.0,0.0001999600079984003,0.0001999600079984003,4184,19,160,904,0.19548950268781987,0.4578816643575892,-0.13619026322385475,-0.037799098790251034,0.14043665597079885,0.34877171905973714,0.1947032023779873,0.45349221087757113,40,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.0363686381166282,0.3604758250169803,0.32410718690035206,0.11311856539768482,0.11338754481630281,0.0002689794186180072,-0.07674992728105706,0.24708828020067705,0.3238382074817342,0.9998000399920016,0.0001999600079984003,0.0001999600079984003,3482,19,146,814,0.2043130911919374,0.4589100882622402,-0.1354726211344804,-0.035841094438769636,0.15002426122292103,0.3548347960944545,0.20395769048057885,0.4589120296328864,50,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.05792449203695752,0.3535946862441164,0.29567019420715884,0.11238173132221704,0.11260054574550155,0.0002188144232845186,-0.054457239285259196,0.24099414049861517,0.2954513797838743,0.9846030793841232,0.0001999600079984003,0.0001999600079984003,2293,19,110,559,0.19242781874464196,0.41553376925685553,-0.083172505954718,-0.028337807753174214,0.1443929244672094,0.3499872744233342,0.19137594831374521,0.41565870438338826,75,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.06717903671292706,0.36504766251949716,0.2978686258065701,0.1118746200161637,0.112591215083071,0.0007165950669072969,-0.044695583303237224,0.2524564474364255,0.29715203073966273,0.9560087982403519,0.0001999600079984003,0.0001999600079984003,1602,19,90,418,0.1918453469226279,0.41673894274953166,-0.07286728844882397,-0.018972612058810595,0.15033657947181375,0.36290267857095226,0.19154048146853872,0.4170653001797042,100,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.07381823692813211,0.3808865608317575,0.3070683239036254,0.11868422065956713,0.11863590926809593,-4.831139147119004e-05,-0.04486598373143475,0.26225065156366184,0.30711663529509664,0.9606078784243152,0.0001999600079984003,0.0001999600079984003,968,18,59,280,0.19603325718937745,0.4306049165642058,-0.07447962973160106,-0.018834317840219373,0.15926477242554446,0.37649624141254096,0.1962709924889845,0.432001823948014,150,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.0785639850586074,0.4157963742450908,0.3372323891864834,0.12046826418132055,0.11979842087292628,-0.0006698433083942787,-0.041904279122712634,0.2959979533721649,0.3379022324948775,0.9012197560487902,0.0001999600079984003,0.0001999600079984003,702,18,45,207,0.22019439752670833,0.46275481227694276,-0.07006490120496538,-0.015906969323289513,0.1881726524882347,0.41256617051824546,0.22090167133864091,0.4628238295135267,200,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
0.07862096472635823,0.4609509596870095,0.3823299949606513,0.12238638407173319,0.12203591520780069,-0.0003504688639325052,-0.04376541934537574,0.33891504447920817,0.38268046382458387,0.905618876224755,0.0001999600079984003,0.0001999600079984003,442,18,33,141,0.2368634391539869,0.5365094170577714,-0.08017023840131335,-0.010784573616875372,0.2030030027063997,0.48671081605171207,0.23714011648580557,0.5377531384245959,300,0.0029994001199760045,1.0,0.005998800239952009,True,False,True
