contrast,left,right,estimand,component,tail,paired_birds,left_events,right_events,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_two_sided,phase_reps,bootstrap_reps,scale_m,holm_family,holm_phase_p,coverage_gate,primary_pass
post_minus_pre,post_only,pre_only,E_low,E,low,42,131,91,-0.021704665376653567,-0.14024716866525888,0.08940820294688699,0.01324417042206421,0.527,999,20000,500,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_union,E,union,42,131,91,0.07921639381829818,-0.08406927226852046,0.24556437438338738,0.02379056959561,0.471,999,20000,500,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_high,R,high,42,131,91,0.005850829479192958,-0.01517262400520723,0.029136789323948364,0.00562524167963585,0.985,999,20000,500,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_low,R,low,42,131,91,-0.002241807388656549,-0.014626911800633233,0.010362032026161738,0.0018814923264381471,0.503,999,20000,500,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_union,R,union,42,131,91,0.0036090220905364125,-0.01734027327062509,0.027757371518837667,0.007506734006073999,0.752,999,20000,500,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_high,L,high,42,131,91,0.09507022971575875,-0.04292843924911684,0.23559178335873282,0.004921157493909944,0.232,999,20000,500,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_low,L,low,42,131,91,-0.019462857987997025,-0.13666361337394622,0.09062716294807222,0.011362678095626062,0.578,999,20000,500,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_union,L,union,42,131,91,0.07560737172776173,-0.08468558658406636,0.23723230033610035,0.016283835589536007,0.452,999,20000,500,primary_post_minus_pre_L_union_4_scales,0.792,True,False
post_minus_none,post_only,none_observed,E_high,E,high,72,181,884,-0.03421953875993991,-0.12408934427439645,0.05848488795819692,-0.0018983760706148673,0.462,999,20000,500,diagnostic,,True,False
post_minus_none,post_only,none_observed,E_low,E,low,72,181,884,0.021997604501863055,-0.04996862682718869,0.09964904433089013,-0.002286346664012502,0.532,999,20000,500,diagnostic,,True,False
post_minus_none,post_only,none_observed,E_union,E,union,72,181,884,-0.012221934258076841,-0.10589868747443167,0.07975784875466724,-0.004184722734627374,0.877,999,20000,500,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_high,R,high,72,181,884,-0.002078536254312007,-0.012066705858982854,0.0077778513964165885,0.0009009667448835673,0.578,999,20000,500,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_low,R,low,72,181,884,-0.005946692680728001,-0.017393184259498755,0.005213535041846852,-0.0009509881388165725,0.167,999,20000,500,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_union,R,union,72,181,884,-0.008025228935040011,-0.02071910235075883,0.005168320354408849,-5.0021393933004924e-05,0.19,999,20000,500,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_high,L,high,72,181,884,-0.0321410025056279,-0.12029119523962933,0.05941584365514337,-0.0027993428154984346,0.501,999,20000,500,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_low,L,low,72,181,884,0.027944297182591053,-0.04367415863208089,0.10574304996793017,-0.0013353585251959289,0.447,999,20000,500,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_union,L,union,72,181,884,-0.004196705323036856,-0.09593290942617731,0.08521441158580666,-0.004134701340694368,1.0,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,E_high,E,high,55,110,760,-0.09727879392755825,-0.2074642591345075,0.02084094925980521,-0.009556816788911106,0.129,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,E_low,E,low,55,110,760,0.010799795948031918,-0.0741417137844772,0.10354089675035441,-0.009035021690997456,0.623,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,E_union,E,union,55,110,760,-0.08647899797952636,-0.19858994696050292,0.024687885210378933,-0.018591838479908564,0.243,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_high,R,high,55,110,760,-0.0038219122157615647,-0.022226245561708848,0.01253763728482525,-0.0021748187696849245,0.858,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_low,R,low,55,110,760,-0.0034040476196209647,-0.01457073207620268,0.008691388966593099,-0.0010968808218708148,0.64,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_union,R,union,55,110,760,-0.007225959835382532,-0.025966672698821087,0.009814967746566436,-0.00327169959155574,0.665,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_high,L,high,55,110,760,-0.09345688171179675,-0.20321500409720553,0.023038681079879168,-0.007381998019226183,0.129,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_low,L,low,55,110,760,0.014203843567652884,-0.06539104313556265,0.10260824636499916,-0.007938140869126642,0.587,999,20000,500,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_union,L,union,55,110,760,-0.0792530381441438,-0.188827374931105,0.029919632862997158,-0.015320138888352822,0.271,999,20000,500,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_high,E,high,34,82,64,0.1341095074401967,-0.029747779585733172,0.29993229643846797,-0.015331869991417887,0.106,999,20000,1000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_low,E,low,34,82,64,0.005384023834500005,-0.13113489487931787,0.14251983753055708,0.013995121461765063,0.884,999,20000,1000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,E_union,E,union,34,82,64,0.13949353127469674,-0.028946364342939103,0.30466144292979774,-0.001336748529652816,0.146,999,20000,1000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_high,R,high,34,82,64,0.011306380906665898,-0.006319978817654964,0.030002968015135342,-9.442667372795649e-05,0.266,999,20000,1000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,R_low,R,low,34,82,64,-0.003430729958025148,-0.014398075682892114,0.006589926301662431,0.001836908727444977,0.444,999,20000,1000,diagnostic,,True,False
