events_mean,animals_mean,beta_absolute_mean,beta_absolute_ci_low_mean,beta_absolute_ci_high_mean,beta_L_low_mean,beta_L_low_ci_low_mean,beta_L_low_ci_high_mean,beta_L_high_mean,beta_L_high_ci_low_mean,beta_L_high_ci_high_mean,standardized_L_union_mean,standardized_L_union_ci_low_mean,standardized_L_union_ci_high_mean,positive_grids_mean,estimable_grids_mean,bootstrap_reps_mean,dataset,scale_m,conditional_L_pass_mean,absolute_pass_mean,L_low_positive_mean,L_low_strict_mean,events_median,animals_median,beta_absolute_median,beta_absolute_ci_low_median,beta_absolute_ci_high_median,beta_L_low_median,beta_L_low_ci_low_median,beta_L_low_ci_high_median,beta_L_high_median,beta_L_high_ci_low_median,beta_L_high_ci_high_median,standardized_L_union_median,standardized_L_union_ci_low_median,standardized_L_union_ci_high_median,positive_grids_median,estimable_grids_median,bootstrap_reps_median,conditional_L_pass_median,absolute_pass_median,L_low_positive_median,L_low_strict_median,phase_L_union_pass
11558,146,-0.0610556327766827,-0.09415252475209705,-0.027810375873477487,0.29363030909556753,0.24155266807012113,0.3467279132603136,0.07372639625509358,0.03366353764246515,0.11466020211001383,0.22710716732159503,0.2128125978328124,0.24098728862553168,9,9,20000,goto,100,True,True,True,True,11558,146,-0.0664634687322408,-0.0998978769645045,-0.0334714618206864,0.2951568548253722,0.2433266073221708,0.3484478327005072,0.0726375538922073,0.0326965282626171,0.1138819988328304,0.2292793726595256,0.2155486070224682,0.2432261199521797,9,9,20000,True,True,True,True,True
4242,34,-0.1957642084704591,-0.24806453547466534,-0.1407759882419918,0.39268300807845724,0.30097002299947767,0.4810674619677971,0.18298367492588727,0.12841078037170361,0.23920081752767644,0.15459906623875558,0.13557339994047596,0.17370712349736928,9,9,20000,usgs_laysan_albatross,500,True,True,True,True,4242,34,-0.1982674452726585,-0.2497580827429643,-0.1437779991071264,0.3936862239949612,0.3042318292640827,0.4802330965757965,0.1820034331628904,0.1277131864608345,0.2379218389907796,0.1541317990972924,0.1347388113093208,0.1732733386209453,9,9,20000,True,True,True,True,True
3573,34,-0.21434432192771913,-0.26461310275758143,-0.16082057609324227,0.33042194554148974,0.24363315808736247,0.4123688927746805,0.17800978936465556,0.10068970526829266,0.2528353034223679,0.14501474556550314,0.12855180702441943,0.1612718373510897,9,9,20000,usgs_laysan_albatross,1000,True,True,True,True,3573,34,-0.2176452489120208,-0.2681080333911838,-0.1636957779728167,0.3319365322026699,0.2435868321968602,0.41315934989574,0.1769226353064256,0.0980603657406173,0.252388124423532,0.146626040842503,0.1298438264289171,0.1630108808296132,9,9,20000,True,True,True,True,True
2757,34,-0.19781531733010893,-0.24630492444132138,-0.14453059040239555,0.38153234348657183,0.2727343716791757,0.4964706648050422,0.22097586779310602,0.09910123795296065,0.34427729015585146,0.15592894800910623,0.13371500818182747,0.1775734817752439,9,9,20000,usgs_laysan_albatross,2000,True,True,True,True,2757,34,-0.2009595394955992,-0.2501410625698476,-0.1480869114455503,0.383272083041848,0.2732911017755985,0.497606145424477,0.2198801228408513,0.0977137609557476,0.3432828956010996,0.1525538718833421,0.1297846111328577,0.1748075863848928,9,9,20000,True,True,True,True,True
