events,animals,beta_absolute,beta_absolute_ci_low,beta_absolute_ci_high,beta_L_low,beta_L_low_ci_low,beta_L_low_ci_high,beta_L_high,beta_L_high_ci_low,beta_L_high_ci_high,standardized_L_union,standardized_L_union_ci_low,standardized_L_union_ci_high,positive_grids,estimable_grids,bootstrap_reps,dataset,scale_m,conditional_L_pass,absolute_pass,L_low_positive,L_low_strict
11558,146,-0.0610556327766827,-0.09415252475209705,-0.027810375873477487,0.29363030909556753,0.24155266807012113,0.3467279132603136,0.07372639625509358,0.03366353764246515,0.11466020211001383,0.22710716732159503,0.2128125978328124,0.24098728862553168,9,9,20000,goto,100,True,True,True,True
4242,34,-0.1957642084704591,-0.24806453547466534,-0.1407759882419918,0.39268300807845724,0.30097002299947767,0.4810674619677971,0.18298367492588727,0.12841078037170361,0.23920081752767644,0.15459906623875558,0.13557339994047596,0.17370712349736928,9,9,20000,usgs_laysan_albatross,500,True,True,True,True
3573,34,-0.21434432192771913,-0.26461310275758143,-0.16082057609324227,0.33042194554148974,0.24363315808736247,0.4123688927746805,0.17800978936465556,0.10068970526829266,0.2528353034223679,0.14501474556550314,0.12855180702441943,0.1612718373510897,9,9,20000,usgs_laysan_albatross,1000,True,True,True,True
2757,34,-0.19781531733010893,-0.24630492444132138,-0.14453059040239555,0.38153234348657183,0.2727343716791757,0.4964706648050422,0.22097586779310602,0.09910123795296065,0.34427729015585146,0.15592894800910623,0.13371500818182747,0.1775734817752439,9,9,20000,usgs_laysan_albatross,2000,True,True,True,True
