scale_m,behavior_class,estimand,component,tail,events,birds,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,holm_family,holm_phase_p,coverage_gate,primary_pass
250,dive_near,E_high,E,high,470,90,0.10124225702306718,0.043942272741211395,0.16158873837471166,0.07395902563835688,0.176,999,5000,descriptive,,True,False
250,dive_near,E_low,E,low,470,90,0.05733942336786562,0.013313469348945004,0.10472484197512072,0.05978182389816535,0.539,999,5000,descriptive,,True,False
250,dive_near,E_union,E,union,470,90,0.1585816803909328,0.09862626253726006,0.21759216024607145,0.13374084953652218,0.21,999,5000,descriptive,,True,False
250,dive_near,R_high,R,high,470,90,-0.010128531491402087,-0.02157526438266643,0.0004557474790765184,-0.004388495603805225,0.863,999,5000,descriptive,,True,False
250,dive_near,R_low,R,low,470,90,-0.0016828364031909744,-0.0055141330489280925,0.0018007713948875546,-0.0010851417116429693,0.661,999,5000,descriptive,,True,False
250,dive_near,R_union,R,union,470,90,-0.011811367894593056,-0.023369302575972348,-0.0007686262636194701,-0.005473637315448195,0.887,999,5000,descriptive,,True,False
250,dive_near,L_high,L,high,470,90,0.11137078851446926,0.05622908456085542,0.17065289778051543,0.07834752124216209,0.134,999,5000,secondary_dive_L_sides_8,0.67,True,False
250,dive_near,L_low,L,low,470,90,0.059022259771056566,0.014536812183411204,0.10635203460479417,0.06086696560980832,0.534,999,5000,secondary_dive_L_sides_8,1.0,True,False
250,dive_near,L_union,L,union,470,90,0.1703930482855258,0.11399291336021292,0.22764718987509233,0.13921448685197035,0.16,999,5000,primary_dive_L_union_4_scales,0.32,True,False
250,wet_only_near,E_high,E,high,731,92,0.15655137860201204,0.10369761685043781,0.21305551258959082,0.08027482316340222,0.001,999,5000,descriptive,,True,False
250,wet_only_near,E_low,E,low,731,92,0.06140357808057686,0.030761512690617016,0.09494158779952938,0.05059734520703579,0.239,999,5000,descriptive,,True,False
250,wet_only_near,E_union,E,union,731,92,0.21795495668258894,0.17091582800046357,0.26559324558050035,0.13087216837043797,0.001,999,5000,descriptive,,True,False
250,wet_only_near,R_high,R,high,731,92,0.0023599211428681276,-0.011121963258503478,0.01559884329185298,-0.00021366884221113818,0.287,999,5000,descriptive,,True,False
250,wet_only_near,R_low,R,low,731,92,0.002336396462384137,-0.003892174759308625,0.007956366372290961,0.0005457743806339901,0.234,999,5000,descriptive,,True,False
250,wet_only_near,R_union,R,union,731,92,0.004696317605252265,-0.0066838046392840725,0.014964209513302297,0.0003321055384228509,0.203,999,5000,descriptive,,True,False
250,wet_only_near,L_high,L,high,731,92,0.15419145745914395,0.10523282209224677,0.2069057637350509,0.08048849200561335,0.001,999,5000,descriptive,,True,False
250,wet_only_near,L_low,L,low,731,92,0.059067181618192716,0.02929705004822766,0.0913020224303268,0.05005157082640179,0.281,999,5000,descriptive,,True,False
250,wet_only_near,L_union,L,union,731,92,0.21325863907733666,0.16975239953799282,0.25840989690812627,0.13054006283201514,0.001,999,5000,descriptive,,True,False
250,no_tdr_near,E_high,E,high,713,106,0.15055410274812925,0.10085123496103099,0.20290831070339593,0.07385930841200994,0.001,999,5000,descriptive,,True,False
250,no_tdr_near,E_low,E,low,713,106,0.08901766736464455,0.04842044408026605,0.1316492088338162,0.06714225140600208,0.122,999,5000,descriptive,,True,False
250,no_tdr_near,E_union,E,union,713,106,0.2395717701127737,0.18850578137226595,0.2905290384277713,0.141001559818012,0.001,999,5000,descriptive,,True,False
250,no_tdr_near,R_high,R,high,713,106,0.003425705922799534,-0.008274055422588494,0.01972374160925525,-0.0010677535997085002,0.172,999,5000,descriptive,,True,False
250,no_tdr_near,R_low,R,low,713,106,0.01255082618066393,0.004611329815382606,0.02163828130345453,5.512522437393335e-05,0.001,999,5000,descriptive,,True,False
250,no_tdr_near,R_union,R,union,713,106,0.015976532103463458,0.004720446958883214,0.031572472936772435,-0.0010126283753345677,0.001,999,5000,descriptive,,True,False
250,no_tdr_near,L_high,L,high,713,106,0.14712839682532972,0.10025885809769661,0.19595948812082425,0.07492706201171843,0.003,999,5000,descriptive,,True,False
250,no_tdr_near,L_low,L,low,713,106,0.07646684118398066,0.03793375773537077,0.11811337268354484,0.06708712618162814,0.323,999,5000,descriptive,,True,False
250,no_tdr_near,L_union,L,union,713,106,0.2235952380093102,0.1724205660934981,0.27421410307976424,0.14201418819334655,0.001,999,5000,descriptive,,True,False
500,dive_near,E_high,E,high,366,86,0.04712140828832081,-0.015980330126519914,0.11347844198665465,0.07093622408724598,0.764,999,5000,descriptive,,True,False
