scale_m,dive_birds,paired_birds,dive_point,independent_dive_ci_low,independent_dive_ci_high,dive_minus_wet_point,independent_modifier_ci_low,independent_modifier_ci_high,modifier_ci_blocks_primary_pass
250,90,88,0.17039304828552584,0.11289969183903528,0.2273235167657239,-0.05178453973905335,-0.12265189884726338,0.01723794020971601,True
500,86,82,0.1486002847014049,0.08067583553145012,0.21403356721250016,-0.07842453021032703,-0.1543256189776325,-0.0009646437350568561,True
1000,78,72,0.2214608658092157,0.1447499314357646,0.29653649502266866,0.018903147682097318,-0.08097579869475525,0.11881464584852701,True
2000,68,61,0.26113510890124775,0.17476808603331417,0.34493242055436346,0.09797031712781462,-0.022018305359867305,0.2186325082810714,True
