scale_m,contrast,left,right,estimand,component,tail,paired_birds,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,holm_family,holm_phase_p,coverage_gate,primary_pass
500,dive_minus_wet,dive_near,wet_only_near,L_high,L,high,82,-0.1171731183547291,-0.19950990958789727,-0.033901143630351634,-3.504505780806223e-05,0.997,999,5000,secondary_dive_minus_wet_L_sides_8,1.0,True,False
500,dive_minus_wet,dive_near,wet_only_near,L_low,L,low,82,0.03874858814440205,-0.029115406270399494,0.11010083542112753,0.0011336372336940598,0.128,999,5000,secondary_dive_minus_wet_L_sides_8,0.768,True,False
500,dive_minus_wet,dive_near,wet_only_near,L_union,L,union,82,-0.07842453021032703,-0.1553845593690271,-0.0018746467348565148,0.0010985921758859974,0.964,999,5000,primary_dive_minus_wet_L_union_4_scales,1.0,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,E_high,E,high,78,-0.07919970466187937,-0.171656790329669,0.01773267310493805,-0.005732514925726106,0.951,999,5000,descriptive,,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,E_low,E,low,78,0.025610980057916698,-0.04792660791014089,0.09989553433705975,-0.013368846486398384,0.153,999,5000,descriptive,,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,E_union,E,union,78,-0.05358872460396259,-0.14384736549464908,0.035984110592685074,-0.019101361412124485,0.775,999,5000,descriptive,,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,R_high,R,high,78,-0.008004515725171123,-0.02088442442545662,0.0049218632669931536,-0.002208214702529454,0.831,999,5000,descriptive,,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,R_low,R,low,78,-0.006104609892133271,-0.016520029962289497,0.0043038726971897515,-0.00149631890899441,0.884,999,5000,descriptive,,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,R_union,R,union,78,-0.014109125617304394,-0.02850112767110038,0.0005493883267015315,-0.003704533611523865,0.959,999,5000,descriptive,,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,L_high,L,high,78,-0.07119518893670819,-0.16572859811977098,0.02708182950079101,-0.0035243002231966493,0.937,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,L_low,L,low,78,0.03171558995004997,-0.041516655073361844,0.10481185989459386,-0.011872527577403974,0.13,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
500,dive_minus_no_tdr,dive_near,no_tdr_near,L_union,L,union,78,-0.039479598986658204,-0.12773609066118494,0.04849448609182629,-0.015396827800600624,0.697,999,5000,secondary_dive_minus_no_tdr_L_all_12,1.0,True,False
1000,dive_minus_wet,dive_near,wet_only_near,E_high,E,high,72,-0.049965162166004454,-0.15281415912667873,0.05904567996767739,0.0019518548666837133,0.858,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
1000,dive_minus_wet,dive_near,wet_only_near,E_low,E,low,72,0.046865930455684615,-0.037308831728674136,0.13410013099874482,-0.009176255463595288,0.057,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
1000,dive_minus_wet,dive_near,wet_only_near,E_union,E,union,72,-0.0030992317103197917,-0.1051472774621205,0.09888444265306238,-0.00722440059691157,0.463,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
1000,dive_minus_wet,dive_near,wet_only_near,R_high,R,high,72,-0.013145774548400765,-0.026408897741435892,-0.0010086383009566809,-0.002415640542922634,0.938,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
1000,dive_minus_wet,dive_near,wet_only_near,R_low,R,low,72,-0.008856604844016347,-0.019465522988822422,0.00032110595126043123,-0.002086574624629165,0.954,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
1000,dive_minus_wet,dive_near,wet_only_near,R_union,R,union,72,-0.022002379392417105,-0.03675894584328454,-0.008710312706516017,-0.0045022151675517975,0.993,999,5000,secondary_dive_minus_wet_E_R_all_24,1.0,True,False
1000,dive_minus_wet,dive_near,wet_only_near,L_high,L,high,72,-0.03681938761760368,-0.13742396461202555,0.06859126474027086,0.00436749540960635,0.808,999,5000,secondary_dive_minus_wet_L_sides_8,1.0,True,False
1000,dive_minus_wet,dive_near,wet_only_near,L_low,L,low,72,0.05572253529970096,-0.026926517840648492,0.14132275585545775,-0.007089680838966122,0.048,999,5000,secondary_dive_minus_wet_L_sides_8,0.336,True,False
1000,dive_minus_wet,dive_near,wet_only_near,L_union,L,union,72,0.018903147682097315,-0.07996674462313973,0.11916419102257317,-0.0027221854293597706,0.33,999,5000,primary_dive_minus_wet_L_union_4_scales,0.99,True,False
