status,env_kind,dataset_id,variables,tile_id,request_lat_min,request_lat_max,request_lon_min,request_lon_max,lat_span_deg,lon_span_deg,start_date,end_date,n_days,output_dir,output_filename,output_path,already_exists,approx_uncompressed_chl_bytes
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120127_lat-038_lon+149,-38.1,-36.9,148.9,150.1,1.2000000000000028,1.1999999999999886,2012-01-27,2012-01-27,1,external_inputs/environment/shearwater_chl,CHL_sts_20120127_lat-038_lon+149.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120127_lat-038_lon+149.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120127_lat-038_lon+150,-38.1,-36.9,149.9,151.1,1.2000000000000028,1.1999999999999886,2012-01-27,2012-01-27,1,external_inputs/environment/shearwater_chl,CHL_sts_20120127_lat-038_lon+150.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120127_lat-038_lon+150.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120202_lat-039_lon+142,-39.1,-37.9,141.9,143.1,1.2000000000000028,1.1999999999999886,2012-02-02,2012-02-02,1,external_inputs/environment/shearwater_chl,CHL_sts_20120202_lat-039_lon+142.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120202_lat-039_lon+142.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120202_lat-039_lon+143,-39.1,-37.9,142.9,144.1,1.2000000000000028,1.1999999999999886,2012-02-02,2012-02-02,1,external_inputs/environment/shearwater_chl,CHL_sts_20120202_lat-039_lon+143.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120202_lat-039_lon+143.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120203_lat-039_lon+141,-39.1,-37.9,140.9,142.1,1.2000000000000028,1.1999999999999886,2012-02-03,2012-02-03,1,external_inputs/environment/shearwater_chl,CHL_sts_20120203_lat-039_lon+141.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120203_lat-039_lon+141.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120203_lat-039_lon+142,-39.1,-37.9,141.9,143.1,1.2000000000000028,1.1999999999999886,2012-02-03,2012-02-03,1,external_inputs/environment/shearwater_chl,CHL_sts_20120203_lat-039_lon+142.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120203_lat-039_lon+142.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120205_lat-038_lon+149,-38.1,-36.9,148.9,150.1,1.2000000000000028,1.1999999999999886,2012-02-05,2012-02-05,1,external_inputs/environment/shearwater_chl,CHL_sts_20120205_lat-038_lon+149.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120205_lat-038_lon+149.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120205_lat-038_lon+150,-38.1,-36.9,149.9,151.1,1.2000000000000028,1.1999999999999886,2012-02-05,2012-02-05,1,external_inputs/environment/shearwater_chl,CHL_sts_20120205_lat-038_lon+150.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120205_lat-038_lon+150.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120206_lat-040_lon+142,-40.1,-38.9,141.9,143.1,1.2000000000000028,1.1999999999999886,2012-02-06,2012-02-06,1,external_inputs/environment/shearwater_chl,CHL_sts_20120206_lat-040_lon+142.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120206_lat-040_lon+142.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120206_lat-040_lon+143,-40.1,-38.9,142.9,144.1,1.2000000000000028,1.1999999999999886,2012-02-06,2012-02-06,1,external_inputs/environment/shearwater_chl,CHL_sts_20120206_lat-040_lon+143.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120206_lat-040_lon+143.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120206_lat-039_lon+141,-39.1,-37.9,140.9,142.1,1.2000000000000028,1.1999999999999886,2012-02-06,2012-02-06,1,external_inputs/environment/shearwater_chl,CHL_sts_20120206_lat-039_lon+141.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120206_lat-039_lon+141.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120206_lat-039_lon+142,-39.1,-37.9,141.9,143.1,1.2000000000000028,1.1999999999999886,2012-02-06,2012-02-06,1,external_inputs/environment/shearwater_chl,CHL_sts_20120206_lat-039_lon+142.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120206_lat-039_lon+142.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120206_lat-039_lon+143,-39.1,-37.9,142.9,144.1,1.2000000000000028,1.1999999999999886,2012-02-06,2012-02-06,1,external_inputs/environment/shearwater_chl,CHL_sts_20120206_lat-039_lon+143.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120206_lat-039_lon+143.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120207_lat-040_lon+143,-40.1,-38.9,142.9,144.1,1.2000000000000028,1.1999999999999886,2012-02-07,2012-02-07,1,external_inputs/environment/shearwater_chl,CHL_sts_20120207_lat-040_lon+143.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120207_lat-040_lon+143.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120207_lat-039_lon+143,-39.1,-37.9,142.9,144.1,1.2000000000000028,1.1999999999999886,2012-02-07,2012-02-07,1,external_inputs/environment/shearwater_chl,CHL_sts_20120207_lat-039_lon+143.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120207_lat-039_lon+143.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120208_lat-039_lon+142,-39.1,-37.9,141.9,143.1,1.2000000000000028,1.1999999999999886,2012-02-08,2012-02-08,1,external_inputs/environment/shearwater_chl,CHL_sts_20120208_lat-039_lon+142.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120208_lat-039_lon+142.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120208_lat-039_lon+143,-39.1,-37.9,142.9,144.1,1.2000000000000028,1.1999999999999886,2012-02-08,2012-02-08,1,external_inputs/environment/shearwater_chl,CHL_sts_20120208_lat-039_lon+143.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120208_lat-039_lon+143.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120209_lat-039_lon+142,-39.1,-37.9,141.9,143.1,1.2000000000000028,1.1999999999999886,2012-02-09,2012-02-09,1,external_inputs/environment/shearwater_chl,CHL_sts_20120209_lat-039_lon+142.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120209_lat-039_lon+142.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120209_lat-038_lon+149,-38.1,-36.9,148.9,150.1,1.2000000000000028,1.1999999999999886,2012-02-09,2012-02-09,1,external_inputs/environment/shearwater_chl,CHL_sts_20120209_lat-038_lon+149.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120209_lat-038_lon+149.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120209_lat-038_lon+150,-38.1,-36.9,149.9,151.1,1.2000000000000028,1.1999999999999886,2012-02-09,2012-02-09,1,external_inputs/environment/shearwater_chl,CHL_sts_20120209_lat-038_lon+150.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120209_lat-038_lon+150.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120210_lat-040_lon+142,-40.1,-38.9,141.9,143.1,1.2000000000000028,1.1999999999999886,2012-02-10,2012-02-10,1,external_inputs/environment/shearwater_chl,CHL_sts_20120210_lat-040_lon+142.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120210_lat-040_lon+142.nc,0,3317
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,sts_20120210_lat-039_lon+142,-39.1,-37.9,141.9,143.1,1.2000000000000028,1.1999999999999886,2012-02-10,2012-02-10,1,external_inputs/environment/shearwater_chl,CHL_sts_20120210_lat-039_lon+142.nc,external_inputs/environment/shearwater_chl/CHL_sts_20120210_lat-039_lon+142.nc,0,3317
