status,env_kind,dataset_id,variables,tile_id,request_lat_min,request_lat_max,request_lon_min,request_lon_max,start_date,end_date,n_days,output_filename,approx_uncompressed_chl_bytes
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,rfbo_2014,19.2,23.6,-162.1,-156.1,2014-05-14,2014-07-31,79,CHL_RFBO_20140514_20140731.nc,177005000
planned,CHL,cmems_obs-oc_glo_bgc-plankton_my_l4-gapfree-multi-4km_P1D,CHL,rfbo_2015,19.2,23.6,-162.1,-156.1,2015-05-01,2015-07-15,76,CHL_RFBO_20150501_20150715.nc,170283000
