events,animals,beta_absolute,beta_absolute_ci_low,beta_absolute_ci_high,beta_L_low,beta_L_low_ci_low,beta_L_low_ci_high,beta_L_high,beta_L_high_ci_low,beta_L_high_ci_high,standardized_L_union,standardized_L_union_ci_low,standardized_L_union_ci_high,positive_grids,estimable_grids,bootstrap_reps,dataset,scale_m,conditional_L_pass,absolute_pass,L_low_positive,L_low_strict,phase_L_union_pass
11558,146,-0.06646346873224084,-0.09989787696450453,-0.033471461820686436,0.29515685482537224,0.24332660732217085,0.3484478327005072,0.07263755389220736,0.03269652826261719,0.11388199883283048,0.22927937265952567,0.21554860702246822,0.24322611995217977,9,9,20000,goto,100,True,True,True,True,True
4242,34,-0.1982674452726585,-0.24975808274296435,-0.14377799910712644,0.3936862239949612,0.30423182926408276,0.48023309657579655,0.18200343316289042,0.12771318646083452,0.23792183899077965,0.15413179909729244,0.13473881130932083,0.17327333862094535,9,9,20000,usgs_laysan_albatross,500,True,True,True,True,True
3573,34,-0.21764524891202086,-0.26810803339118383,-0.16369577797281673,0.33193653220266994,0.24358683219686028,0.41315934989574005,0.17692263530642569,0.09806036574061737,0.25238812442353203,0.14662604084250308,0.12984382642891715,0.16301088082961324,9,9,20000,usgs_laysan_albatross,1000,True,True,True,True,True
2757,34,-0.2009595394955992,-0.25014106256984764,-0.14808691144555033,0.383272083041848,0.27329110177559857,0.49760614542447706,0.2198801228408513,0.09771376095574764,0.3432828956010996,0.15255387188334213,0.12978461113285772,0.1748075863848928,9,9,20000,usgs_laysan_albatross,2000,True,True,True,True,True
