property,segments,total_segments,percent_segments,figure,panel,record_type,replicate,rho_chl_support,rho_chl_median_log_length
,,,,Supplementary Figure 5,b-d,eligible-record replacement,60,-0.1305064847942755,-0.1324016100178891
,,,,Supplementary Figure 5,b-d,eligible-record replacement,61,-0.1353253577817531,-0.1177716905187835
,,,,Supplementary Figure 5,b-d,eligible-record replacement,62,-0.1619800983899821,-0.0861974508050089
,,,,Supplementary Figure 5,b-d,eligible-record replacement,63,-0.1465116279069767,-0.109089892665474
,,,,Supplementary Figure 5,b-d,eligible-record replacement,64,-0.151587656529517,-0.0797573792486583
,,,,Supplementary Figure 5,b-d,eligible-record replacement,65,-0.1536672629695885,-0.1112365831842576
,,,,Supplementary Figure 5,b-d,eligible-record replacement,66,-0.1260845259391771,-0.1210420393559928
,,,,Supplementary Figure 5,b-d,eligible-record replacement,67,-0.1563729874776386,-0.1049194991055456
,,,,Supplementary Figure 5,b-d,eligible-record replacement,68,-0.154846824686941,-0.0933363148479427
,,,,Supplementary Figure 5,b-d,eligible-record replacement,69,-0.129360465116279,-0.1157312164579606
,,,,Supplementary Figure 5,b-d,eligible-record replacement,70,-0.1517944991055456,-0.1060040250447227
,,,,Supplementary Figure 5,b-d,eligible-record replacement,71,-0.1323009838998211,-0.0944040697674418
,,,,Supplementary Figure 5,b-d,eligible-record replacement,72,-0.159425313059034,-0.1085364490161001
,,,,Supplementary Figure 5,b-d,eligible-record replacement,73,-0.1328991502683363,-0.1406361806797853
,,,,Supplementary Figure 5,b-d,eligible-record replacement,74,-0.1494745080500894,-0.087483228980322
,,,,Supplementary Figure 5,b-d,eligible-record replacement,75,-0.1372540250447227,-0.1074407423971377
,,,,Supplementary Figure 5,b-d,eligible-record replacement,76,-0.1392944991055456,-0.1349228533094812
,,,,Supplementary Figure 5,b-d,eligible-record replacement,77,-0.1371645796064401,-0.1270963774597495
,,,,Supplementary Figure 5,b-d,eligible-record replacement,78,-0.1491949910554562,-0.0904013864042934
,,,,Supplementary Figure 5,b-d,eligible-record replacement,79,-0.1496757602862254,-0.0907871198568873
,,,,Supplementary Figure 5,b-d,eligible-record replacement,80,-0.1244297853309481,-0.091810152057245
,,,,Supplementary Figure 5,b-d,eligible-record replacement,81,-0.1600178890876565,-0.0858173076923077
,,,,Supplementary Figure 5,b-d,eligible-record replacement,82,-0.1438114937388193,-0.1222104203935599
,,,,Supplementary Figure 5,b-d,eligible-record replacement,83,-0.1323401162790697,-0.1121198568872987
,,,,Supplementary Figure 5,b-d,eligible-record replacement,84,-0.1365943649373882,-0.1262131037567084
,,,,Supplementary Figure 5,b-d,eligible-record replacement,85,-0.1454159212880143,-0.1209805456171735
,,,,Supplementary Figure 5,b-d,eligible-record replacement,86,-0.1428946779964222,-0.1025771466905187
,,,,Supplementary Figure 5,b-d,eligible-record replacement,87,-0.142212656529517,-0.0909995527728086
,,,,Supplementary Figure 5,b-d,eligible-record replacement,88,-0.1425424865831842,-0.1078488372093023
,,,,Supplementary Figure 5,b-d,eligible-record replacement,89,-0.1427661001788909,-0.1113931127012522
,,,,Supplementary Figure 5,b-d,eligible-record replacement,90,-0.1252515652951699,-0.1200637298747764
,,,,Supplementary Figure 5,b-d,eligible-record replacement,91,-0.1390261627906976,-0.110895572450805
,,,,Supplementary Figure 5,b-d,eligible-record replacement,92,-0.142413908765653,-0.1104259838998211
,,,,Supplementary Figure 5,b-d,eligible-record replacement,93,-0.1425257155635062,-0.106367397137746
,,,,Supplementary Figure 5,b-d,eligible-record replacement,94,-0.1501956618962433,-0.0990887745974955
,,,,Supplementary Figure 5,b-d,eligible-record replacement,95,-0.1479371645796064,-0.117363595706619
,,,,Supplementary Figure 5,b-d,eligible-record replacement,96,-0.141877236135957,-0.1090283989266547
,,,,Supplementary Figure 5,b-d,eligible-record replacement,97,-0.1475961538461538,-0.0784995527728086
,,,,Supplementary Figure 5,b-d,eligible-record replacement,98,-0.1459134615384615,-0.1131261180679785
,,,,Supplementary Figure 5,b-d,eligible-record replacement,99,-0.1332848837209302,-0.1139143559928443
,,,,Supplementary Figure 5,b-d,eligible-record replacement,100,-0.1428946779964222,-0.1185934704830053
