property,segments,total_segments,percent_segments,figure,panel,record_type,replicate,rho_chl_support,rho_chl_median_log_length
,,,,Supplementary Figure 5,b-d,eligible-record replacement,273,-0.1484402951699463,-0.0952761627906976
,,,,Supplementary Figure 5,b-d,eligible-record replacement,274,-0.1484682468694096,-0.1084302325581395
,,,,Supplementary Figure 5,b-d,eligible-record replacement,275,-0.1450637298747764,-0.0847439624329159
,,,,Supplementary Figure 5,b-d,eligible-record replacement,276,-0.1660275044722719,-0.0838271466905188
,,,,Supplementary Figure 5,b-d,eligible-record replacement,277,-0.1596824686940966,-0.1074463327370304
,,,,Supplementary Figure 5,b-d,eligible-record replacement,278,-0.1286337209302325,-0.1111359570661896
,,,,Supplementary Figure 5,b-d,eligible-record replacement,279,-0.1376621198568873,-0.1132994186046511
,,,,Supplementary Figure 5,b-d,eligible-record replacement,280,-0.1521970035778175,-0.0867341234347048
,,,,Supplementary Figure 5,b-d,eligible-record replacement,281,-0.1513808139534884,-0.1057300983899821
,,,,Supplementary Figure 5,b-d,eligible-record replacement,282,-0.1472439624329159,-0.0965116279069767
,,,,Supplementary Figure 5,b-d,eligible-record replacement,283,-0.1414132379248658,-0.1163293828264758
,,,,Supplementary Figure 5,b-d,eligible-record replacement,284,-0.1347607334525939,-0.1285610465116279
,,,,Supplementary Figure 5,b-d,eligible-record replacement,285,-0.1588327370304114,-0.0994968694096601
,,,,Supplementary Figure 5,b-d,eligible-record replacement,286,-0.1514814400715563,-0.1135118515205724
,,,,Supplementary Figure 5,b-d,eligible-record replacement,287,-0.1492453041144902,-0.106115831842576
,,,,Supplementary Figure 5,b-d,eligible-record replacement,288,-0.1370974955277281,-0.1301207513416816
,,,,Supplementary Figure 5,b-d,eligible-record replacement,289,-0.1366502683363148,-0.1385453935599284
,,,,Supplementary Figure 5,b-d,eligible-record replacement,290,-0.1546343917710197,-0.1148703041144901
,,,,Supplementary Figure 5,b-d,eligible-record replacement,291,-0.1543660554561717,-0.1131484794275492
,,,,Supplementary Figure 5,b-d,eligible-record replacement,292,-0.1564288908765653,-0.1192978533094812
,,,,Supplementary Figure 5,b-d,eligible-record replacement,293,-0.1367956171735241,-0.1150715563506261
,,,,Supplementary Figure 5,b-d,eligible-record replacement,294,-0.1489210644007156,-0.0993571109123434
,,,,Supplementary Figure 5,b-d,eligible-record replacement,295,-0.1451923076923077,-0.087214892665474
,,,,Supplementary Figure 5,b-d,eligible-record replacement,296,-0.1446276833631485,-0.1105769230769231
,,,,Supplementary Figure 5,b-d,eligible-record replacement,297,-0.1501453488372093,-0.1167710196779964
,,,,Supplementary Figure 5,b-d,eligible-record replacement,298,-0.1423356440071556,-0.088785778175313
,,,,Supplementary Figure 5,b-d,eligible-record replacement,299,-0.1411281305903399,-0.1070382379248658
,,,,Supplementary Figure 5,b-d,eligible-record replacement,300,-0.1561046511627907,-0.0975849731663685
,,,,Supplementary Figure 5,b-d,eligible-record replacement,301,-0.1463495080500894,-0.1307021466905188
,,,,Supplementary Figure 5,b-d,eligible-record replacement,302,-0.131048747763864,-0.115608228980322
,,,,Supplementary Figure 5,b-d,eligible-record replacement,303,-0.1442475402504472,-0.1195270572450805
,,,,Supplementary Figure 5,b-d,eligible-record replacement,304,-0.1313729874776386,-0.1256093470483005
,,,,Supplementary Figure 5,b-d,eligible-record replacement,305,-0.1525547853309481,-0.1101017441860465
,,,,Supplementary Figure 5,b-d,eligible-record replacement,306,-0.1541815742397138,-0.0896690518783542
,,,,Supplementary Figure 5,b-d,eligible-record replacement,307,-0.1265652951699463,-0.1108173076923077
,,,,Supplementary Figure 5,b-d,eligible-record replacement,308,-0.1400268336314848,-0.1230713327370304
,,,,Supplementary Figure 5,b-d,eligible-record replacement,309,-0.1401889534883721,-0.1064344812164579
,,,,Supplementary Figure 5,b-d,eligible-record replacement,310,-0.1505813953488372,-0.1011516100178891
,,,,Supplementary Figure 5,b-d,eligible-record replacement,311,-0.1477806350626118,-0.1083296064400715
,,,,Supplementary Figure 5,b-d,eligible-record replacement,312,-0.1464054114490161,-0.1316972271914132
,,,,Supplementary Figure 5,b-d,eligible-record replacement,313,-0.1461650268336315,-0.111029740608229
,,,,Supplementary Figure 5,b-d,eligible-record replacement,314,-0.151319320214669,-0.1098669499105546
,,,,Supplementary Figure 5,b-d,eligible-record replacement,315,-0.1365831842576028,-0.1376453488372093
,,,,Supplementary Figure 5,b-d,eligible-record replacement,316,-0.1341066636851521,-0.1091681574239713
,,,,Supplementary Figure 5,b-d,eligible-record replacement,317,-0.151369633273703,-0.1141491502683363
,,,,Supplementary Figure 5,b-d,eligible-record replacement,318,-0.1392162343470483,-0.1246757602862254
,,,,Supplementary Figure 5,b-d,eligible-record replacement,319,-0.1430064847942755,-0.1365496422182469
,,,,Supplementary Figure 5,b-d,eligible-record replacement,320,-0.1606384168157424,-0.0754025044722719
,,,,Supplementary Figure 5,b-d,eligible-record replacement,321,-0.156434481216458,-0.1083631484794275
,,,,Supplementary Figure 5,b-d,eligible-record replacement,322,-0.1566133720930232,-0.1163349731663685
,,,,Supplementary Figure 5,b-d,eligible-record replacement,323,-0.1380310822898032,-0.1125391323792486
,,,,Supplementary Figure 5,b-d,eligible-record replacement,324,-0.1548971377459749,-0.1177828711985689
,,,,Supplementary Figure 5,b-d,eligible-record replacement,325,-0.1600626118067978,-0.101336091234347
,,,,Supplementary Figure 5,b-d,eligible-record replacement,326,-0.140725626118068,-0.1026554114490161
,,,,Supplementary Figure 5,b-d,eligible-record replacement,327,-0.148244633273703,-0.1120360017889088
,,,,Supplementary Figure 5,b-d,eligible-record replacement,328,-0.1584917262969588,-0.0898032200357782
,,,,Supplementary Figure 5,b-d,eligible-record replacement,329,-0.1377180232558139,-0.1174586314847943
,,,,Supplementary Figure 5,b-d,eligible-record replacement,330,-0.1390093917710197,-0.1276162790697674
,,,,Supplementary Figure 5,b-d,eligible-record replacement,331,-0.1454885957066189,-0.0849955277280858
,,,,Supplementary Figure 5,b-d,eligible-record replacement,332,-0.1353253577817531,-0.1143783542039356
,,,,Supplementary Figure 5,b-d,eligible-record replacement,333,-0.150033542039356,-0.0916424418604651
,,,,Supplementary Figure 5,b-d,eligible-record replacement,334,-0.1449798747763864,-0.1088271466905188
,,,,Supplementary Figure 5,b-d,eligible-record replacement,335,-0.1446332737030411,-0.1187779516994633
,,,,Supplementary Figure 5,b-d,eligible-record replacement,336,-0.1563562164579606,-0.0934704830053667
,,,,Supplementary Figure 5,b-d,eligible-record replacement,337,-0.1419834525939177,-0.1254360465116279
,,,,Supplementary Figure 5,b-d,eligible-record replacement,338,-0.154779740608229,-0.0912455277280858
,,,,Supplementary Figure 5,b-d,eligible-record replacement,339,-0.1526162790697674,-0.0894957513416815
,,,,Supplementary Figure 5,b-d,eligible-record replacement,340,-0.1351017441860465,-0.1226520572450805
,,,,Supplementary Figure 5,b-d,eligible-record replacement,341,-0.1630646243291592,-0.1208687388193202
,,,,Supplementary Figure 5,b-d,eligible-record replacement,342,-0.1456171735241503,-0.0921399821109123
,,,,Supplementary Figure 5,b-d,eligible-record replacement,343,-0.1564400715563506,-0.088970259391771
,,,,Supplementary Figure 5,b-d,eligible-record replacement,344,-0.1285945885509839,-0.1247707960644007
,,,,Supplementary Figure 5,b-d,eligible-record replacement,345,-0.1379807692307692,-0.1270181127012522
,,,,Supplementary Figure 5,b-d,eligible-record replacement,346,-0.1428220035778175,-0.1311046511627907
,,,,Supplementary Figure 5,b-d,eligible-record replacement,347,-0.1486806797853309,-0.129830053667263
,,,,Supplementary Figure 5,b-d,eligible-record replacement,348,-0.1343023255813953,-0.1324742844364937
,,,,Supplementary Figure 5,b-d,eligible-record replacement,349,-0.1263472719141324,-0.1297909212880143
,,,,Supplementary Figure 5,b-d,eligible-record replacement,350,-0.1536113595706619,-0.1220594812164579
,,,,Supplementary Figure 5,b-d,eligible-record replacement,351,-0.1364881484794275,-0.113886404293381
,,,,Supplementary Figure 5,b-d,eligible-record replacement,352,-0.1301375223613596,-0.1088662790697674
,,,,Supplementary Figure 5,b-d,eligible-record replacement,353,-0.1286840339892665,-0.1391882826475849
,,,,Supplementary Figure 5,b-d,eligible-record replacement,354,-0.1738539803220036,-0.0917039355992844
,,,,Supplementary Figure 5,b-d,eligible-record replacement,355,-0.1186270125223613,-0.1300760286225402
,,,,Supplementary Figure 5,b-d,eligible-record replacement,356,-0.1527224955277281,-0.1031529516994633
,,,,Supplementary Figure 5,b-d,eligible-record replacement,357,-0.1598222271914132,-0.0923915474060823
,,,,Supplementary Figure 5,b-d,eligible-record replacement,358,-0.1390932468694097,-0.1223893112701252
,,,,Supplementary Figure 5,b-d,eligible-record replacement,359,-0.1448680679785331,-0.1149150268336315
,,,,Supplementary Figure 5,b-d,eligible-record replacement,360,-0.1285889982110912,-0.1278175313059034
,,,,Supplementary Figure 5,b-d,eligible-record replacement,361,-0.145337656529517,-0.1078823792486583
,,,,Supplementary Figure 5,b-d,eligible-record replacement,362,-0.1448289355992844,-0.1052101967799642
,,,,Supplementary Figure 5,b-d,eligible-record replacement,363,-0.1550368962432916,-0.1336873881932021
,,,,Supplementary Figure 5,b-d,eligible-record replacement,364,-0.1343973613595707,-0.1279349284436494
,,,,Supplementary Figure 5,b-d,eligible-record replacement,365,-0.1529293381037567,-0.1215339892665474
,,,,Supplementary Figure 5,b-d,eligible-record replacement,366,-0.1423691860465116,-0.0990440518783542
,,,,Supplementary Figure 5,b-d,eligible-record replacement,367,-0.131065518783542,-0.1395628354203936
,,,,Supplementary Figure 5,b-d,eligible-record replacement,368,-0.1396355098389982,-0.1162678890876565
,,,,Supplementary Figure 5,b-d,eligible-record replacement,369,-0.1596545169946333,-0.1048468246869409
,,,,Supplementary Figure 5,b-d,eligible-record replacement,370,-0.1415977191413238,-0.1149094364937388
,,,,Supplementary Figure 5,b-d,eligible-record replacement,371,-0.1198065742397137,-0.129477862254025
,,,,Supplementary Figure 5,b-d,eligible-record replacement,372,-0.1398479427549195,-0.1199239713774597
,,,,Supplementary Figure 5,b-d,eligible-record replacement,373,-0.1330724508050089,-0.1312555903398927
,,,,Supplementary Figure 5,b-d,eligible-record replacement,374,-0.1440015652951699,-0.0998099284436493
,,,,Supplementary Figure 5,b-d,eligible-record replacement,375,-0.1458911001788909,-0.1084246422182469
,,,,Supplementary Figure 5,b-d,eligible-record replacement,376,-0.1487309928443649,-0.1035498658318425
,,,,Supplementary Figure 5,b-d,eligible-record replacement,377,-0.1493794722719141,-0.1052716905187835
,,,,Supplementary Figure 5,b-d,eligible-record replacement,378,-0.1349060822898032,-0.109089892665474
,,,,Supplementary Figure 5,b-d,eligible-record replacement,379,-0.1476576475849731,-0.107887969588551
,,,,Supplementary Figure 5,b-d,eligible-record replacement,380,-0.1378242397137746,-0.085929114490161
,,,,Supplementary Figure 5,b-d,eligible-record replacement,381,-0.123261404293381,-0.1314568425760286
,,,,Supplementary Figure 5,b-d,eligible-record replacement,382,-0.1392833184257603,-0.1080780411449016
,,,,Supplementary Figure 5,b-d,eligible-record replacement,383,-0.1454159212880143,-0.1162231663685152
,,,,Supplementary Figure 5,b-d,eligible-record replacement,384,-0.1452929338103757,-0.0988819320214669
,,,,Supplementary Figure 5,b-d,eligible-record replacement,385,-0.1403678443649374,-0.124865831842576
,,,,Supplementary Figure 5,b-d,eligible-record replacement,386,-0.1449183810375671,-0.1319599731663685
,,,,Supplementary Figure 5,b-d,eligible-record replacement,387,-0.1489490161001789,-0.1007155635062612
,,,,Supplementary Figure 5,b-d,eligible-record replacement,388,-0.1526833631484794,-0.1089613148479427
,,,,Supplementary Figure 5,b-d,eligible-record replacement,389,-0.1579103309481216,-0.1216681574239714
,,,,Supplementary Figure 5,b-d,eligible-record replacement,390,-0.1321835867620751,-0.1211817978533095
,,,,Supplementary Figure 5,b-d,eligible-record replacement,391,-0.1429785330948121,-0.1122931574239713
,,,,Supplementary Figure 5,b-d,eligible-record replacement,392,-0.1513752236135957,-0.1187444096601073
,,,,Supplementary Figure 5,b-d,eligible-record replacement,393,-0.1315630590339893,-0.1240887745974955
,,,,Supplementary Figure 5,b-d,eligible-record replacement,394,-0.1370360017889088,-0.1085979427549195
,,,,Supplementary Figure 5,b-d,eligible-record replacement,395,-0.1441413237924866,-0.0905299642218247
,,,,Supplementary Figure 5,b-d,eligible-record replacement,396,-0.1323345259391771,-0.1329103309481216
,,,,Supplementary Figure 5,b-d,eligible-record replacement,397,-0.1577482110912343,-0.0854539355992844
,,,,Supplementary Figure 5,b-d,eligible-record replacement,398,-0.1570270572450805,-0.093884168157424
,,,,Supplementary Figure 5,b-d,eligible-record replacement,399,-0.1456730769230769,-0.0853756708407871
,,,,Supplementary Figure 5,b-d,eligible-record replacement,400,-0.1356551878354204,-0.1173356440071556
,,,,Supplementary Figure 5,b-d,eligible-record replacement,401,-0.1360688729874776,-0.1116558586762075
,,,,Supplementary Figure 5,b-d,eligible-record replacement,402,-0.1550983899821109,-0.0926431127012522
,,,,Supplementary Figure 5,b-d,eligible-record replacement,403,-0.1433530858676207,-0.140507602862254
,,,,Supplementary Figure 5,b-d,eligible-record replacement,404,-0.1460476296958855,-0.0977582737030411
,,,,Supplementary Figure 5,b-d,eligible-record replacement,405,-0.1477135509838998,-0.1026218694096601
,,,,Supplementary Figure 5,b-d,eligible-record replacement,406,-0.1470538908765653,-0.093649373881932
,,,,Supplementary Figure 5,b-d,eligible-record replacement,407,-0.1426710644007155,-0.1101520572450805
,,,,Supplementary Figure 5,b-d,eligible-record replacement,408,-0.1424362701252236,-0.1159324686940966
,,,,Supplementary Figure 5,b-d,eligible-record replacement,409,-0.1474563953488372,-0.0914300089445438
,,,,Supplementary Figure 5,b-d,eligible-record replacement,410,-0.1570605992844365,-0.1193537567084078
,,,,Supplementary Figure 5,b-d,eligible-record replacement,411,-0.1502906976744186,-0.109375
,,,,Supplementary Figure 5,b-d,eligible-record replacement,412,-0.1499440966010733,-0.1060096153846154
,,,,Supplementary Figure 5,b-d,eligible-record replacement,413,-0.1328656082289803,-0.1238539803220035
,,,,Supplementary Figure 5,b-d,eligible-record replacement,414,-0.135878801431127,-0.1130813953488372
,,,,Supplementary Figure 5,b-d,eligible-record replacement,415,-0.1409883720930232,-0.1115720035778175
,,,,Supplementary Figure 5,b-d,eligible-record replacement,416,-0.1508497316636851,-0.0937388193202146
,,,,Supplementary Figure 5,b-d,eligible-record replacement,417,-0.1506932021466905,-0.1174418604651163
,,,,Supplementary Figure 5,b-d,eligible-record replacement,418,-0.1551822450805009,-0.0948568872987477
,,,,Supplementary Figure 5,b-d,eligible-record replacement,419,-0.1494130143112701,-0.1067587209302325
,,,,Supplementary Figure 5,b-d,eligible-record replacement,420,-0.1558307245080501,-0.1010230322003578
,,,,Supplementary Figure 5,b-d,eligible-record replacement,421,-0.1608564400715563,-0.0939959749552773
,,,,Supplementary Figure 5,b-d,eligible-record replacement,422,-0.1554226296958855,-0.0935711091234347
,,,,Supplementary Figure 5,b-d,eligible-record replacement,423,-0.1469141323792487,-0.1017721377459749
,,,,Supplementary Figure 5,b-d,eligible-record replacement,424,-0.1431238819320215,-0.1399206171735242
,,,,Supplementary Figure 5,b-d,eligible-record replacement,425,-0.1472048300536672,-0.1241670393559928
,,,,Supplementary Figure 5,b-d,eligible-record replacement,426,-0.1466681574239714,-0.106115831842576
,,,,Supplementary Figure 5,b-d,eligible-record replacement,427,-0.1348949016100179,-0.1033653846153846
,,,,Supplementary Figure 5,b-d,eligible-record replacement,428,-0.142313282647585,-0.0900771466905188
,,,,Supplementary Figure 5,b-d,eligible-record replacement,429,-0.1487813059033989,-0.0945046958855098
,,,,Supplementary Figure 5,b-d,eligible-record replacement,430,-0.1503410107334526,-0.0973613595706619
,,,,Supplementary Figure 5,b-d,eligible-record replacement,431,-0.1428555456171735,-0.1276721824686941
,,,,Supplementary Figure 5,b-d,eligible-record replacement,432,-0.1485688729874776,-0.1009783094812164
,,,,Supplementary Figure 5,b-d,eligible-record replacement,433,-0.1512634168157424,-0.0939959749552773
,,,,Supplementary Figure 5,b-d,eligible-record replacement,434,-0.1384447674418605,-0.0944264311270125
,,,,Supplementary Figure 5,b-d,eligible-record replacement,435,-0.1486415474060823,-0.1144007155635062
,,,,Supplementary Figure 5,b-d,eligible-record replacement,436,-0.1421567531305903,-0.1164188282647585
,,,,Supplementary Figure 5,b-d,eligible-record replacement,437,-0.1362309928443649,-0.1181462432915921
,,,,Supplementary Figure 5,b-d,eligible-record replacement,438,-0.1388640429338103,-0.1004807692307692
,,,,Supplementary Figure 5,b-d,eligible-record replacement,439,-0.1468861806797853,-0.1178443649373882
,,,,Supplementary Figure 5,b-d,eligible-record replacement,440,-0.1496198568872987,-0.0962041592128801
,,,,Supplementary Figure 5,b-d,eligible-record replacement,441,-0.140490831842576,-0.0948345259391771
,,,,Supplementary Figure 5,b-d,eligible-record replacement,442,-0.1661504919499105,-0.1015149821109123
,,,,Supplementary Figure 5,b-d,eligible-record replacement,443,-0.1426710644007155,-0.1191469141323792
,,,,Supplementary Figure 5,b-d,eligible-record replacement,444,-0.1383329606440071,-0.1049418604651163
,,,,Supplementary Figure 5,b-d,eligible-record replacement,445,-0.1514814400715563,-0.1311605545617173
,,,,Supplementary Figure 5,b-d,eligible-record replacement,446,-0.1356831395348837,-0.0961594364937388
,,,,Supplementary Figure 5,b-d,eligible-record replacement,447,-0.1444991055456172,-0.1168492844364937
,,,,Supplementary Figure 5,b-d,eligible-record replacement,448,-0.1629192754919499,-0.1304841234347048
,,,,Supplementary Figure 5,b-d,eligible-record replacement,449,-0.1720594812164579,-0.1034995527728086
,,,,Supplementary Figure 5,b-d,eligible-record replacement,450,-0.1382435152057245,-0.1009335867620751
,,,,Supplementary Figure 5,b-d,eligible-record replacement,451,-0.1380422629695885,-0.1286616726296959
,,,,Supplementary Figure 5,b-d,eligible-record replacement,452,-0.1240105098389982,-0.1103644901610018
,,,,Supplementary Figure 5,b-d,eligible-record replacement,453,-0.1457010286225402,-0.0845147584973166
,,,,Supplementary Figure 5,b-d,eligible-record replacement,454,-0.1397640876565295,-0.104779740608229
,,,,Supplementary Figure 5,b-d,eligible-record replacement,455,-0.1337880143112701,-0.1168101520572451
,,,,Supplementary Figure 5,b-d,eligible-record replacement,456,-0.154461091234347,-0.1002403846153846
,,,,Supplementary Figure 5,b-d,eligible-record replacement,457,-0.1444040697674418,-0.1138808139534884
,,,,Supplementary Figure 5,b-d,eligible-record replacement,458,-0.1408038908765653,-0.0990775939177102
,,,,Supplementary Figure 5,b-d,eligible-record replacement,459,-0.1292822003577817,-0.1244074239713774
,,,,Supplementary Figure 5,b-d,eligible-record replacement,460,-0.1475122987477639,-0.1201475849731663
,,,,Supplementary Figure 5,b-d,eligible-record replacement,461,-0.1427381484794276,-0.101470259391771
,,,,Supplementary Figure 5,b-d,eligible-record replacement,462,-0.1463103756708408,-0.1036001788908765
,,,,Supplementary Figure 5,b-d,eligible-record replacement,463,-0.1490887745974955,-0.118481663685152
,,,,Supplementary Figure 5,b-d,eligible-record replacement,464,-0.1386795617173524,-0.1400156529516995
,,,,Supplementary Figure 5,b-d,eligible-record replacement,465,-0.1540082737030411,-0.0878969141323792
,,,,Supplementary Figure 5,b-d,eligible-record replacement,466,-0.1501229874776386,-0.0996310375670841
,,,,Supplementary Figure 5,b-d,eligible-record replacement,467,-0.1415138640429338,-0.1322115384615384
,,,,Supplementary Figure 5,b-d,eligible-record replacement,468,-0.1396075581395349,-0.1133385509838998
,,,,Supplementary Figure 5,b-d,eligible-record replacement,469,-0.1302828711985689,-0.1314065295169946
,,,,Supplementary Figure 5,b-d,eligible-record replacement,470,-0.1513472719141324,-0.0934593023255814
,,,,Supplementary Figure 5,b-d,eligible-record replacement,471,-0.1382826475849732,-0.1329326923076923
,,,,Supplementary Figure 5,b-d,eligible-record replacement,472,-0.170371198568873,-0.0863707513416815
,,,,Supplementary Figure 5,b-d,eligible-record replacement,473,-0.1571332737030411,-0.0980377906976744
,,,,Supplementary Figure 5,b-d,eligible-record replacement,474,-0.1383497316636851,-0.1039411896243291
,,,,Supplementary Figure 5,b-d,eligible-record replacement,475,-0.1419331395348837,-0.1236024150268336
,,,,Supplementary Figure 5,b-d,eligible-record replacement,476,-0.1483899821109123,-0.0884615384615384
,,,,Supplementary Figure 5,b-d,eligible-record replacement,477,-0.1269454382826476,-0.1175089445438282
,,,,Supplementary Figure 5,b-d,eligible-record replacement,478,-0.1305623881932021,-0.1299921735241503
,,,,Supplementary Figure 5,b-d,eligible-record replacement,479,-0.148647137745975,-0.1175536672629696
,,,,Supplementary Figure 5,b-d,eligible-record replacement,480,-0.1431909660107334,-0.1003130590339893
,,,,Supplementary Figure 5,b-d,eligible-record replacement,481,-0.1341010733452594,-0.1183027728085867
,,,,Supplementary Figure 5,b-d,eligible-record replacement,482,-0.1494130143112701,-0.1209470035778175
,,,,Supplementary Figure 5,b-d,eligible-record replacement,483,-0.1335420393559928,-0.1170896690518783
,,,,Supplementary Figure 5,b-d,eligible-record replacement,484,-0.1550368962432916,-0.1158262522361359
,,,,Supplementary Figure 5,b-d,eligible-record replacement,485,-0.1536952146690519,-0.0910498658318425
,,,,Supplementary Figure 5,b-d,eligible-record replacement,486,-0.148563282647585,-0.1293436940966011
,,,,Supplementary Figure 5,b-d,eligible-record replacement,487,-0.1398591234347048,-0.1131428890876565
,,,,Supplementary Figure 5,b-d,eligible-record replacement,488,-0.1448680679785331,-0.110878801431127
,,,,Supplementary Figure 5,b-d,eligible-record replacement,489,-0.1342631932021467,-0.1072394901610018
,,,,Supplementary Figure 5,b-d,eligible-record replacement,490,-0.1403957960644007,-0.1259838998211091
,,,,Supplementary Figure 5,b-d,eligible-record replacement,491,-0.1335811717352415,-0.1451308139534884
,,,,Supplementary Figure 5,b-d,eligible-record replacement,492,-0.1305679785330948,-0.1241223166368515
,,,,Supplementary Figure 5,b-d,eligible-record replacement,493,-0.1509950805008944,-0.0944767441860465
,,,,Supplementary Figure 5,b-d,eligible-record replacement,494,-0.1352247316636851,-0.132770572450805
,,,,Supplementary Figure 5,b-d,eligible-record replacement,495,-0.1489210644007156,-0.1031976744186046
,,,,Supplementary Figure 5,b-d,eligible-record replacement,496,-0.1371757602862254,-0.1190015652951699
,,,,Supplementary Figure 5,b-d,eligible-record replacement,497,-0.1353868515205724,-0.1165306350626118
,,,,Supplementary Figure 5,b-d,eligible-record replacement,498,-0.1581283542039356,-0.0815239266547406
,,,,Supplementary Figure 5,b-d,eligible-record replacement,499,-0.1463774597495528,-0.1239601967799642
,,,,Supplementary Figure 5,b-d,eligible-record replacement,500,-0.1329494633273703,-0.1116838103756708
,,,,Supplementary Figure 5,b-d,eligible-record replacement,501,-0.1413629248658318,-0.1017944991055456
,,,,Supplementary Figure 5,b-d,eligible-record replacement,502,-0.1351408765652952,-0.1318928890876565
,,,,Supplementary Figure 5,b-d,eligible-record replacement,503,-0.138852862254025,-0.1084525939177102
,,,,Supplementary Figure 5,b-d,eligible-record replacement,504,-0.1353924418604651,-0.0982725849731663
,,,,Supplementary Figure 5,b-d,eligible-record replacement,505,-0.1522920393559928,-0.1108899821109123
,,,,Supplementary Figure 5,b-d,eligible-record replacement,506,-0.137298747763864,-0.1035275044722719
,,,,Supplementary Figure 5,b-d,eligible-record replacement,507,-0.1357893559928444,-0.1163349731663685
,,,,Supplementary Figure 5,b-d,eligible-record replacement,508,-0.1392218246869409,-0.1112868962432916
,,,,Supplementary Figure 5,b-d,eligible-record replacement,509,-0.1426598837209302,-0.0880758050089445
,,,,Supplementary Figure 5,b-d,eligible-record replacement,510,-0.1482725849731664,-0.0972998658318426
,,,,Supplementary Figure 5,b-d,eligible-record replacement,511,-0.1308195438282647,-0.1208855098389982
,,,,Supplementary Figure 5,b-d,eligible-record replacement,512,-0.1503689624329159,-0.0955500894454383
,,,,Supplementary Figure 5,b-d,eligible-record replacement,513,-0.1290026833631485,-0.1228868515205724
,,,,Supplementary Figure 5,b-d,eligible-record replacement,514,-0.1549418604651163,-0.112432915921288
,,,,Supplementary Figure 5,b-d,eligible-record replacement,515,-0.1591849284436494,-0.1010174418604651
,,,,Supplementary Figure 5,b-d,eligible-record replacement,516,-0.1473278175313059,-0.1187555903398926
,,,,Supplementary Figure 5,b-d,eligible-record replacement,517,-0.1457904740608229,-0.1103533094812165
,,,,Supplementary Figure 5,b-d,eligible-record replacement,518,-0.1588942307692308,-0.1253521914132379
,,,,Supplementary Figure 5,b-d,eligible-record replacement,519,-0.1401721824686941,-0.0866279069767442
,,,,Supplementary Figure 5,b-d,eligible-record replacement,520,-0.1490943649373882,-0.1039467799642218
,,,,Supplementary Figure 5,b-d,eligible-record replacement,521,-0.1439233005366726,-0.1006205277280858
,,,,Supplementary Figure 5,b-d,eligible-record replacement,522,-0.1406361806797853,-0.1167822003577817
,,,,Supplementary Figure 5,b-d,eligible-record replacement,523,-0.1527504472271914,-0.0806965563506261
,,,,Supplementary Figure 5,b-d,eligible-record replacement,524,-0.148529740608229,-0.1380534436493738
,,,,Supplementary Figure 5,b-d,eligible-record replacement,525,-0.1372763864042934,-0.1004416368515205
,,,,Supplementary Figure 5,b-d,eligible-record replacement,526,-0.1414300089445438,-0.1032983005366726
,,,,Supplementary Figure 5,b-d,eligible-record replacement,527,-0.1294331395348837,-0.1135789355992844
,,,,Supplementary Figure 5,b-d,eligible-record replacement,528,-0.1277560375670841,-0.1377292039355993
,,,,Supplementary Figure 5,b-d,eligible-record replacement,529,-0.1371478085867621,-0.1278063506261181
,,,,Supplementary Figure 5,b-d,eligible-record replacement,530,-0.1572059481216458,-0.1187611806797853
,,,,Supplementary Figure 5,b-d,eligible-record replacement,531,-0.1537567084078712,-0.0972942754919499
,,,,Supplementary Figure 5,b-d,eligible-record replacement,532,-0.1429114490161002,-0.1228085867620751
,,,,Supplementary Figure 5,b-d,eligible-record replacement,533,-0.1295673076923077,-0.1252124329159213
,,,,Supplementary Figure 5,b-d,eligible-record replacement,534,-0.1224004919499105,-0.1238819320214669
,,,,Supplementary Figure 5,b-d,eligible-record replacement,535,-0.1356663685152057,-0.1116502683363148
,,,,Supplementary Figure 5,b-d,eligible-record replacement,536,-0.1533653846153846,-0.1198009838998211
,,,,Supplementary Figure 5,b-d,eligible-record replacement,537,-0.1495863148479428,-0.0780131932021467
,,,,Supplementary Figure 5,b-d,eligible-record replacement,538,-0.1341513864042934,-0.10591457960644
,,,,Supplementary Figure 5,b-d,eligible-record replacement,539,-0.135644007155635,-0.1039355992844365
,,,,Supplementary Figure 5,b-d,eligible-record replacement,540,-0.1383832737030411,-0.0991279069767442
,,,,Supplementary Figure 5,b-d,eligible-record replacement,541,-0.1383776833631484,-0.1354986583184257
,,,,Supplementary Figure 5,b-d,eligible-record replacement,542,-0.1603477191413238,-0.1171399821109123
,,,,Supplementary Figure 5,b-d,eligible-record replacement,543,-0.1463495080500894,-0.1263305008944544
,,,,Supplementary Figure 5,b-d,eligible-record replacement,544,-0.1518280411449016,-0.11241614490161
,,,,Supplementary Figure 5,b-d,eligible-record replacement,545,-0.1505925760286225,-0.1034548300536672
,,,,Supplementary Figure 5,b-d,eligible-record replacement,546,-0.1492341234347048,-0.0936214221824687
,,,,Supplementary Figure 5,b-d,eligible-record replacement,547,-0.1238931127012522,-0.129477862254025
,,,,Supplementary Figure 5,b-d,eligible-record replacement,548,-0.1494689177101968,-0.1146578711985688
,,,,Supplementary Figure 5,b-d,eligible-record replacement,549,-0.1342687835420394,-0.1149206171735241
,,,,Supplementary Figure 5,b-d,eligible-record replacement,550,-0.1253466010733452,-0.1316636851520572
,,,,Supplementary Figure 5,b-d,eligible-record replacement,551,-0.1526442307692308,-0.1153343023255814
,,,,Supplementary Figure 5,b-d,eligible-record replacement,552,-0.1474340339892665,-0.0984402951699463
