dataset,scale_m,family,estimand,events,units,segments,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,rho_tau_distinct_cell_fraction,holm_phase_p,positive_support,panel,delta_m,bin_low_s,bin_high_s,birds,pre_bird_equal,post_bird_equal,post_minus_pre,ci_low,ci_high,behavior_group,individuals,individual_equal_mean,phase_p_raw,holm_family,phase_p_holm
usgs_laysan_albatross,2000.0,A,R_union,2757,34.0,914.0,-0.0043827900974005,-0.0118640652216289,0.0033105549753133,-0.0012446332872044,0.805,999.0,20000.0,,1.0,False,b,,,,,,,,,,,,,,,
usgs_laysan_albatross,2000.0,A,L_high,2757,34.0,914.0,0.0944723194194094,0.0798812810703762,0.1096923948582385,0.0439242143038464,0.001,999.0,20000.0,,0.018,True,b,,,,,,,,,,,,,,,
usgs_laysan_albatross,2000.0,A,L_low,2757,34.0,914.0,0.061137666245776,0.0475403680580861,0.0748430601766596,0.0424123687365529,0.012,999.0,20000.0,,0.132,False,b,,,,,,,,,,,,,,,
usgs_laysan_albatross,2000.0,A,L_union,2757,34.0,914.0,0.1556099856651854,0.1370844138392523,0.1739852783942085,0.0863365830403994,0.001,999.0,20000.0,,0.018,True,b,,,,,,,,,,,,,,,
,,,,1602,,,,,,,,,,,,,c,100.0,0.0,30.0,19.0,0.0,0.0457050553185469,0.0457050553185469,0.0239728237221772,0.0725396059045553,,,,,,
,,,,1602,,,,,,,,,,,,,c,100.0,30.0,120.0,19.0,0.0007545222657086,0.0505684515743969,0.0498139293086882,0.0206486127995754,0.0841651547964602,,,,,,
,,,,1602,,,,,,,,,,,,,c,100.0,120.0,300.0,19.0,0.0120768788213983,0.1047381861184192,0.0926613072970209,0.0388344690476707,0.1695276286003564,,,,,,
,,,,1602,,,,,,,,,,,,,c,100.0,300.0,600.0,19.0,0.0546056335618365,0.1765368213898427,0.1219311878280062,0.0557621064582557,0.2120177707033125,,,,,,
,500.0,,L_union,35,,,,0.2121842046842046,0.5004235150576615,0.0803169052375822,,,,,,,d,,,,,,,,,,forage_dominant,9.0,0.3563681926903409,0.003,primary_forage_dominant_L_union_4_scales,0.012
,1000.0,,L_union,34,,,,0.1877088254223347,0.4848754036444584,0.0506221574032611,,,,,,,d,,,,,,,,,,forage_dominant,8.0,0.3349756538514634,0.005,primary_forage_dominant_L_union_4_scales,0.015
,2000.0,,L_union,32,,,,0.1157882625187312,0.4713782423538521,0.0449848346511625,,,,,,,d,,,,,,,,,,forage_dominant,8.0,0.293344261175816,0.009,primary_forage_dominant_L_union_4_scales,0.018
,5000.0,,L_union,18,,,,-0.0032828025284535,0.3978030687977334,0.046205894113245,,,,,,,d,,,,,,,,,,forage_dominant,8.0,0.1989402685181469,0.118,primary_forage_dominant_L_union_4_scales,0.118
