scale_m,paired_birds,observed_recomputed,formal_observed,absolute_difference,bootstrap_ci_low_seed126999,bootstrap_ci_high_seed126999,ci_crosses_zero
250,59,0.10335669484643616,0.1033566948464361,5.551115123125783e-17,-0.016261539777604826,0.225565673494648,True
500,42,0.07560737172776173,0.0756073717277617,2.7755575615628914e-17,-0.0837179716953367,0.23887039162503063,True
1000,34,0.13161788032605598,0.1316178803260559,8.326672684688674e-17,-0.03196312288922814,0.29680875040898436,True
2000,22,0.10946100007383402,0.109461000073834,2.7755575615628914e-17,-0.12541324651796185,0.34637142222163786,True
