scale_m,events,individuals,effect,ci_low,ci_high,phase_p_raw,phase_p_holm,pass
500,35,9,0.35636819269034087,0.2117801221744753,0.5023569023569023,0.008,0.024,True
1000,34,8,0.3349756538514634,0.18877569847401302,0.4840178990745884,0.003,0.012,True
2000,32,8,0.293344261175816,0.11711547260327748,0.4713782423538522,0.015,0.03,True
5000,18,8,0.1989402685181469,-0.006721596010198943,0.4006084777598856,0.135,0.135,False
