scale_m,behavior_group,estimand,events,individuals,individual_equal_mean,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm
500,forage_dominant,E_high,35,9,0.16520920518645493,-0.0011920745060279767,0.3440489319597003,0.010967985976099928,0.069,descriptive,
500,forage_dominant,E_low,35,9,0.2005033842875097,0.026745141600214066,0.3957667647664909,0.06272415638482498,0.072,descriptive,
500,forage_dominant,E_union,35,9,0.36571258947396457,0.22915730941093257,0.500455355286308,0.07369214236092489,0.002,descriptive,
500,forage_dominant,R_high,35,9,0.008467405612761207,-0.009781047986217739,0.02819619974631724,-0.006906666624024499,0.198,descriptive,
500,forage_dominant,R_low,35,9,0.0008769911708625519,-0.006373359224737082,0.008321528559623802,0.00028190374736716025,0.537,descriptive,
500,forage_dominant,R_union,35,9,0.009344396783623761,-0.012382795776902131,0.03403978516948833,-0.006624762876657338,0.167,descriptive,
500,forage_dominant,L_high,35,9,0.15674179957369377,-0.0030889021261691994,0.33634061859400194,0.01787465260012443,0.094,secondary_forage_dominant_L_tails_8,0.47
500,forage_dominant,L_low,35,9,0.19962639311664715,0.025040533784710814,0.39369295588239683,0.062442252637457826,0.072,secondary_forage_dominant_L_tails_8,0.43199999999999994
500,forage_dominant,L_union,35,9,0.3563681926903409,0.21218420468420465,0.5004235150576615,0.08031690523758225,0.003,primary_forage_dominant_L_union_4_scales,0.012
500,rest_dominant,E_high,40,9,-0.14115509015258387,-0.19938738405843667,-0.07598720433933477,0.0011814089682371561,0.944,descriptive,
500,rest_dominant,E_low,40,9,0.17657998387948262,-0.019441140869712287,0.3917614583098605,0.08264162366060632,0.169,descriptive,
500,rest_dominant,E_union,40,9,0.03542489372689874,-0.1756152935468412,0.2575578324951759,0.08382303262884346,0.657,descriptive,
500,rest_dominant,R_high,40,9,-0.026152191816352217,-0.0758612054194761,0.009096459096459092,-0.0068539981412440365,0.863,descriptive,
500,rest_dominant,R_low,40,9,0.006454584587416664,-0.009698915647380565,0.022013151757042694,-0.0004371490786602677,0.311,descriptive,
500,rest_dominant,R_union,40,9,-0.019697607228935557,-0.060245091021250176,0.015624278719516807,-0.007291147219904302,0.739,descriptive,
500,rest_dominant,L_high,40,9,-0.11500289833623167,-0.18780102613435948,-0.04250020041686709,0.008035407109481188,0.906,descriptive,
500,rest_dominant,L_low,40,9,0.170125399292066,-0.0305419888753222,0.38789435872769207,0.08307877273926656,0.183,descriptive,
500,rest_dominant,L_union,40,9,0.055122500955834305,-0.14225234641901308,0.2737658830367164,0.09111417984874777,0.621,descriptive,
1000,forage_dominant,E_high,34,8,0.10221341415210583,-0.02518895442032086,0.21222307112568742,0.014614354206815741,0.189,descriptive,
