scale_m,predictor,estimand,events,individuals,individual_equal_slope,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm
500,future_specificity,E_high,74,7,0.26533573897859436,0.09603547409945891,0.44126518367407513,0.007710153856214364,0.028,descriptive,
500,future_specificity,E_low,74,7,0.05616274162012021,-0.23197953053873857,0.3204149850969416,-0.009873432888793346,0.292,descriptive,
500,future_specificity,E_union,74,7,0.3214984805987146,0.021079564559564484,0.6782522234973444,-0.0021632790325789913,0.013,secondary_future_specificity_E_R_union_8,0.091
500,future_specificity,R_high,74,7,0.06286989388691695,0.0008666255212778865,0.14809514719142822,-0.0018093583232080964,0.012,descriptive,
500,future_specificity,R_low,74,7,-0.002469955848351156,-0.026630635403760657,0.019633001107595412,-0.0014036187940441682,0.443,descriptive,
500,future_specificity,R_union,74,7,0.06039993803856577,0.008543922327584243,0.12430916920092427,-0.0032129771172522696,0.009,secondary_future_specificity_E_R_union_8,0.072
500,future_specificity,L_high,74,7,0.20246584509167745,0.08330180559755171,0.3129720727220155,0.00951951217942246,0.078,secondary_future_specificity_L_tails_8,0.525
500,future_specificity,L_low,74,7,0.05863269746847137,-0.23334018296367606,0.32971162690593847,-0.008469814094749176,0.286,secondary_future_specificity_L_tails_8,1.0
500,future_specificity,L_union,74,7,0.26109854256014886,-0.011293011654636507,0.558095338176359,0.001049698084673295,0.042,primary_future_specificity_L_union_4_scales,0.136
500,future_forage,E_high,74,7,0.9068214092631962,0.05471846198704768,2.218524670317408,0.04033505081059872,0.018,descriptive,
500,future_forage,E_low,74,7,-0.04450026429886652,-1.1001603349392777,0.8543445910546451,-0.07449138256906077,0.439,descriptive,
500,future_forage,E_union,74,7,0.8623211449643294,0.16952337625973996,1.5563770862703705,-0.03415633175846204,0.023,descriptive,
500,future_forage,R_high,74,7,0.056574148557332296,-0.054000212965693094,0.194708392256373,0.0009435748884231325,0.184,descriptive,
500,future_forage,R_low,74,7,0.012560313126339791,-0.011938074262751263,0.043481450871523886,-0.0018469973931796442,0.322,descriptive,
500,future_forage,R_union,74,7,0.0691344616836721,-0.033815712795330036,0.19932890091608643,-0.0009034225047565204,0.133,descriptive,
500,future_forage,L_high,74,7,0.8502472607058637,0.08386583073051428,2.12982690891137,0.03939147592217558,0.03,descriptive,
500,future_forage,L_low,74,7,-0.057060577425206246,-1.1033643687988701,0.8354612747245314,-0.07264438517588111,0.455,descriptive,
500,future_forage,L_union,74,7,0.7931866832806574,0.1199395014701836,1.4432250509677516,-0.03325290925370551,0.038,descriptive,
500,future_rest,E_high,74,7,-0.38005410491579533,-0.6002713150723248,-0.1589862208205763,-0.005407486124195122,0.972,descriptive,
500,future_rest,E_low,74,7,-0.003006655852192421,-0.35133822427884137,0.44543201854182257,0.011353467233845272,0.502,descriptive,
500,future_rest,E_union,74,7,-0.3830607607679876,-0.8048770194532089,0.02521356091853439,0.005945981109650154,0.951,descriptive,
500,future_rest,R_high,74,7,-0.10681993490631525,-0.20867037224091362,-0.02328133641106319,0.0033045512778200805,0.975,descriptive,
500,future_rest,R_low,74,7,0.005847479399992643,-0.03545924037126137,0.05597172040444519,0.0012376500655156624,0.514,descriptive,
500,future_rest,R_union,74,7,-0.1009724555063226,-0.159798196993496,-0.04293489967365627,0.00454220134333575,0.983,descriptive,
500,future_rest,L_high,74,7,-0.27323417000947997,-0.4217483168409365,-0.11905198879145895,-0.008712037402015212,0.905,descriptive,
500,future_rest,L_low,74,7,-0.00885413525218509,-0.3852268156469766,0.4503489403552461,0.010115817168329598,0.511,descriptive,
500,future_rest,L_union,74,7,-0.28208830526166506,-0.6589002280271666,0.10612345223000698,0.0014037797663143965,0.894,descriptive,
500,prior_specificity,E_high,74,7,0.36687827931510875,0.17946772996681665,0.5609893575334814,0.0004420298737919718,0.001,descriptive,
500,prior_specificity,E_low,74,7,0.0498193365348112,-0.2458573001066004,0.30916902612202524,0.022043886297496918,0.383,descriptive,
500,prior_specificity,E_union,74,7,0.41669761584992,0.12400924636876196,0.7368981312736239,0.022485916171288884,0.003,descriptive,
500,prior_specificity,R_high,74,7,0.06255451315433987,0.011138990407947802,0.13181555511190193,-0.0012543507668626385,0.02,descriptive,
500,prior_specificity,R_low,74,7,0.007738820761814813,-0.0074868411680469515,0.019705899876756396,-0.0008925336297273787,0.224,descriptive,
500,prior_specificity,R_union,74,7,0.07029333391615467,0.02182654053890371,0.14179520117502148,-0.0021468843965900273,0.007,descriptive,
500,prior_specificity,L_high,74,7,0.30432376616076884,0.14129226662423683,0.469020798708548,0.0016963806406546061,0.005,descriptive,
500,prior_specificity,L_low,74,7,0.04208051577299639,-0.2559997577167813,0.3005547401772565,0.022936419927224304,0.423,descriptive,
500,prior_specificity,L_union,74,7,0.3464042819337653,0.07974859189816552,0.614335084550223,0.024632800567878917,0.008,descriptive,
500,prior_forage,E_high,74,7,0.8826258064647845,-0.11717708590420285,2.3584185075115616,0.03453906460104211,0.043,descriptive,
500,prior_forage,E_low,74,7,0.020167325779111577,-1.482332896688549,1.1687625206178378,-0.05307220253072301,0.422,descriptive,
500,prior_forage,E_union,74,7,0.9027931322438961,0.5300237064876376,1.2707021245242263,-0.018533137929680848,0.019,descriptive,
500,prior_forage,R_high,74,7,0.03672799932451977,-0.06043013583430362,0.1272306092081401,-0.00828948610656357,0.214,descriptive,
500,prior_forage,R_low,74,7,-0.0016387590015145594,-0.031131248765752344,0.025922430487389306,-3.349902506036737e-05,0.523,descriptive,
500,prior_forage,R_union,74,7,0.03508924032300521,-0.04781255847798831,0.1144068107779289,-0.00832298513162395,0.232,descriptive,
500,prior_forage,L_high,74,7,0.8458978071402647,-0.1890174893528887,2.3443419829766725,0.04282855070760568,0.052,descriptive,
500,prior_forage,L_low,74,7,0.021806084780626105,-1.4527114468777662,1.173042052531437,-0.053038703505662636,0.416,descriptive,
500,prior_forage,L_union,74,7,0.8677038919208908,0.487662042664129,1.2704470653152273,-0.010210152798056892,0.025,descriptive,
500,prior_rest,E_high,74,7,-0.41745361680077275,-0.6001542323401204,-0.2392266847116182,0.002434827747827989,0.995,descriptive,
500,prior_rest,E_low,74,7,-0.014613811893150521,-0.33022676991241956,0.4115059745259373,-0.018618701298120807,0.476,descriptive,
500,prior_rest,E_union,74,7,-0.4320674286939233,-0.7853214164266683,0.015591798636766423,-0.01618387355029281,0.987,descriptive,
500,prior_rest,R_high,74,7,-0.09992573730649315,-0.16273299926528811,-0.0409504204442741,0.002220373565908202,0.989,descriptive,
500,prior_rest,R_low,74,7,-0.003563904747696456,-0.029903051259983018,0.03381232354273565,0.0014675529101321801,0.66,descriptive,
500,prior_rest,R_union,74,7,-0.1034896420541896,-0.15851937761064994,-0.050546110285211825,0.003687926476040395,0.996,descriptive,
500,prior_rest,L_high,74,7,-0.3175278794942796,-0.45770897840583913,-0.16086710097932472,0.0002144541819197865,0.98,descriptive,
500,prior_rest,L_low,74,7,-0.011049907145454087,-0.32358178885625294,0.41507941379435664,-0.020086254208252993,0.467,descriptive,
500,prior_rest,L_union,74,7,-0.32857778663973375,-0.6604001114220478,0.1196919833759363,-0.01987180002633321,0.948,descriptive,
500,future_minus_prior_specificity,E_high,74,7,-0.3789136832592012,-0.8060148311938402,-0.02162634692799451,0.01706441380358407,0.961,descriptive,
500,future_minus_prior_specificity,E_low,74,7,0.01839409732344202,-0.2594147930336321,0.35205594497747084,-0.012421570244363335,0.411,descriptive,
500,future_minus_prior_specificity,E_union,74,7,-0.3605195859357591,-0.6226303626533373,-0.13442348983330138,0.004642843559220749,0.902,descriptive,
500,future_minus_prior_specificity,R_high,74,7,-0.07132236943081527,-0.16427330524903724,0.007111732935660557,-0.0046727631181025225,0.882,descriptive,
500,future_minus_prior_specificity,R_low,74,7,0.010748378149250103,-0.013664339749364448,0.03690157852787845,0.0005822055534103011,0.36,descriptive,
500,future_minus_prior_specificity,R_union,74,7,-0.06057399128156513,-0.13742894530574037,0.004482515607299146,-0.004090557564692213,0.823,descriptive,
500,future_minus_prior_specificity,L_high,74,7,-0.30759131382838595,-0.7541885059048559,0.08377235127748657,0.021737176921686602,0.929,descriptive,
500,future_minus_prior_specificity,L_low,74,7,0.007645719174191918,-0.2900162014384638,0.3537378893409117,-0.013003775797773648,0.429,descriptive,
500,future_minus_prior_specificity,L_union,74,7,-0.299945594654194,-0.5532705396826436,-0.08566946144432479,0.008733401123912953,0.871,descriptive,
1000,future_specificity,E_high,70,7,0.235754543001474,0.08982106214199996,0.4033261928743853,0.0018751551689460085,0.047,descriptive,
1000,future_specificity,E_low,70,7,0.08707207027069726,-0.16716091838299021,0.34370934033528544,-0.004956771859175657,0.205,descriptive,
1000,future_specificity,E_union,70,7,0.32282661327217127,-0.007279674484847147,0.695656746194112,-0.0030816166902296474,0.021,secondary_future_specificity_E_R_union_8,0.10799999999999998
1000,future_specificity,R_high,70,7,0.030513541485452125,-0.029117071549352138,0.1214991329792717,0.00011824496575267411,0.161,descriptive,
1000,future_specificity,R_low,70,7,0.003042353955936414,-0.01986444046706049,0.02414492476822429,0.0002399313908787777,0.339,descriptive,
1000,future_specificity,R_union,70,7,0.03355589544138853,-0.02081066280582545,0.1073713639273858,0.00035817635663145053,0.152,secondary_future_specificity_E_R_union_8,0.608
1000,future_specificity,L_high,70,7,0.20524100151602184,0.09867769589950247,0.3148732064430503,0.0017569102031933348,0.075,secondary_future_specificity_L_tails_8,0.525
1000,future_specificity,L_low,70,7,0.08402971631476085,-0.1776802275565555,0.34796584399286346,-0.005196703250054431,0.209,secondary_future_specificity_L_tails_8,1.0
1000,future_specificity,L_union,70,7,0.2892707178307827,-0.02211909366360998,0.6167078944588381,-0.003439793046861093,0.034,primary_future_specificity_L_union_4_scales,0.136
1000,future_forage,E_high,70,7,0.13366043005654257,-0.11956277836077597,0.4504151429553253,0.027369704757156423,0.378,descriptive,
1000,future_forage,E_low,70,7,0.06895639683314171,-0.9605065864644422,0.9322007313810099,0.055551061379980705,0.421,descriptive,
1000,future_forage,E_union,70,7,0.20261682688968427,-0.9804207738345648,1.2656474149498884,0.08292076613713713,0.391,descriptive,
1000,future_forage,R_high,70,7,0.0733544857686149,-0.05791088490256197,0.21916374670195096,0.004629839198264405,0.183,descriptive,
1000,future_forage,R_low,70,7,0.03982340443474257,0.01566330959780588,0.0637734430062505,-4.208688270814894e-05,0.097,descriptive,
1000,future_forage,R_union,70,7,0.11317789020335747,-0.022452540415001117,0.2672268082424426,0.004587752315556247,0.055,descriptive,
1000,future_forage,L_high,70,7,0.0603059442879277,-0.16046191640124802,0.2747902513042259,0.02273986555889201,0.445,descriptive,
1000,future_forage,L_low,70,7,0.029132992398399164,-1.0107061387715246,0.8953963455821741,0.05559314826268887,0.466,descriptive,
1000,future_forage,L_union,70,7,0.08943893668632685,-1.1412442178724957,1.1331923187770052,0.0783330138215809,0.491,descriptive,
1000,future_rest,E_high,70,7,-0.405106738814999,-0.5907434290868103,-0.21743756950439322,0.002907967339157968,0.944,descriptive,
1000,future_rest,E_low,70,7,-0.03816151735570097,-0.34035425175702944,0.3151245461626422,0.00025648461727539336,0.563,descriptive,
1000,future_rest,E_union,70,7,-0.4432682561706999,-0.8546019500639501,-0.0468996827638803,0.0031644519564333643,0.929,descriptive,
1000,future_rest,R_high,70,7,-0.03880042967800961,-0.15743293058786456,0.040152438859263964,-0.0018184169860209428,0.688,descriptive,
1000,future_rest,R_low,70,7,0.0010687460108456265,-0.04435422578020375,0.05750797761042329,-0.0015516046507395365,0.512,descriptive,
1000,future_rest,R_union,70,7,-0.037731683667163986,-0.10908829735508382,0.02143574547853689,-0.0033700216367604763,0.695,descriptive,
1000,future_rest,L_high,70,7,-0.3663063091369894,-0.48077935457109433,-0.22466768083588715,0.004726384325178908,0.926,descriptive,
1000,future_rest,L_low,70,7,-0.03923026336654659,-0.3752850965375553,0.3437429769848148,0.0018080892680149196,0.585,descriptive,
1000,future_rest,L_union,70,7,-0.4055365725035359,-0.7607744062810988,-0.031554692587678845,0.006534473593193827,0.922,descriptive,
1000,prior_specificity,E_high,70,7,0.4293749500972565,0.20233864855614264,0.6607734064913661,0.0007760297016583372,0.002,descriptive,
