scale_m,events,individuals,effect,ci_low,ci_high,phase_p_raw,phase_p_holm,pass
500,74,7,0.2610985425601489,-0.011671836376118582,0.5573537106542584,0.043,0.144,False
1000,70,7,0.2892707178307827,-0.0230468481963669,0.6151463090421678,0.036,0.144,False
2000,62,7,0.09780815715886274,-0.23008042647130011,0.36675008273996346,0.283,0.566,False
5000,35,6,0.08804126165115207,-0.49363339550303637,0.9599957592530268,0.405,0.566,False
