segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median,panel,replicate,rho_chl_support,rho_chl_median_log_length
WA_Centurion20172018CRO15511_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15511_GPSdata_RS.xlsx,174.0,174.0,True,6.998845947236987e-13,1.0,1.0,True,147.48787902230606,147.48787902230606,0.0,1.0,12.0,a-c,,,
WA_Centurion20172018CRO15531_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15531_GPSdata_RS.xlsx,223.0,223.0,True,1.432409746371377e-12,1.0,0.0,True,219.4428526732368,219.4428526732368,5.684341886080803e-14,1.0,11.0,a-c,,,
WA_Centurion20172018CRO15541_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15541_GPSdata_RS.xlsx,40.0,40.0,True,1.4050982599655981e-12,0.0,0.0,True,-1.294569084368845,-1.2945690843626494,6.195710611223149e-12,1.0,16.0,a-c,,,
WA_Centurion20172018CRO15542_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15542_GPSdata_RS.xlsx,49.0,49.0,True,8.382183835919932e-13,0.0,0.0,True,14.342621839139156,14.342621839139156,0.0,1.0,8.0,a-c,,,
WA_Centurion20172018CRO15611_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15611_GPSdata_RS.xlsx,109.0,109.0,True,8.810729923425242e-13,1.0,1.0,True,131.54530857980194,131.54530857980194,0.0,1.0,13.0,a-c,,,
WA_Centurion20172018CRO15621_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15621_GPSdata_RS.xlsx,152.0,152.0,True,1.6910917111090384e-12,0.0,0.0,True,23.692448998911004,23.692448998945792,3.4788172342814505e-11,1.0,16.0,a-c,,,
WA_Centurion20172018CRO15631_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15631_GPSdata_RS.xlsx,320.0,320.0,True,1.407207683712386e-12,3.0,1.0,True,177.82855787273525,177.82855787273525,0.0,1.0,7.0,a-c,,,
WA_Centurion20172018CRO15711_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15711_GPSdata_RS.xlsx,252.0,252.0,True,2.0738966099997924e-12,1.0,0.0,True,156.48396119760037,156.48396119758763,1.2732925824820995e-11,1.0,14.0,a-c,,,
WA_Centurion20172018CRO15821_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15821_GPSdata_RS.xlsx,277.0,277.0,True,1.7854884237777924e-12,1.0,1.0,True,244.97784501237788,244.97784501237788,0.0,1.0,7.0,a-c,,,
WA_Centurion20172018CRO15911_GPSdata_RS.xlsx|0,WA_Centurion20172018CRO15911_GPSdata_RS.xlsx,218.0,218.0,True,1.4073048282270406e-12,1.0,1.0,True,460.2372386483096,460.2372386483096,0.0,1.0,7.5,a-c,,,
WA_Centurion20182019CRO14011_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO14011_GPSdata_RS.xlsx,247.0,247.0,True,1.2791989689731054e-12,1.0,1.0,True,172.38581353248355,172.38581353248355,0.0,1.0,12.0,a-c,,,
WA_Centurion20182019CRO18411_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18411_GPSdata_RS.xlsx,137.0,137.0,True,1.4148682225822997e-12,2.0,0.0,True,145.74459026666727,145.74459026666727,0.0,1.0,13.0,a-c,,,
WA_Centurion20182019CRO18611_GPSdata_RS.xlsx|1,WA_Centurion20182019CRO18611_GPSdata_RS.xlsx,298.0,298.0,True,1.3482548411047901e-12,1.0,1.0,True,257.05127721158806,257.0512772118691,2.8103386284783477e-10,1.0,12.0,a-c,,,
WA_Centurion20182019CRO18621_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18621_GPSdata_RS.xlsx,208.0,208.0,True,9.823253321883385e-13,0.0,0.0,True,19.32199414445404,19.32199414443926,1.4782841617488884e-11,1.0,9.0,a-c,,,
WA_Centurion20182019CRO18622_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO18622_GPSdata_RS.xlsx,92.0,92.0,True,2.0516921495072893e-12,0.0,0.0,True,39.85576242021182,39.85576242021182,0.0,1.0,6.5,a-c,,,
