dataset,scale_m,event_id,n_runs,n_record_runs,decomposition_residual,panel,temporal_identity_residual,frozen_events,geometry_pass,a_chl_eligible,a_decomposition_eligible,b_chl_eligible,rho_tau_distinct_cell,rho_tau_distinct_cell_fraction
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|4,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|6,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003F_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|7,8.0,7.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|0,7.0,6.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|1,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|13,3.0,2.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|22,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|23,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|26,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|38,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003H_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|39,4.0,4.0,0.0,a-c,,,,,,,,
