actual_pre,actual_post,actual_diff,null_pre_mean,null_post_mean,null_diff_mean,resid_pre,resid_post,resid_diff,p_pre_upper,p_post_upper,p_diff_upper,events,birds,pre_events,post_events,raw_diff_ci_low,raw_diff_ci_high,resid_pre_ci_low,resid_pre_ci_high,resid_post_ci_low,resid_post_ci_high,resid_diff_ci_low,resid_diff_ci_high,delta_m,holm15_direction_p,holm30_pre_p,holm30_post_p,direction_pass,pre_side_pass,post_side_pass,panel,scale_m,predictor,estimand,individuals,individual_equal_slope,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_raw,holm_family,phase_p_holm,coverage_pass,pass,behavior_group,individual_equal_mean,behavior_class,component,tail,observed_unit_equal,phase_p_one_sided,phase_reps,bootstrap_reps,holm_phase_p,coverage_gate,primary_pass,contrast,left,right,paired_birds,left_events,right_events,phase_p_two_sided
0.043576347712571,0.3528719769769715,0.3092956292644005,0.1132121327654558,0.1132445770801044,3.244431464859865e-05,-0.0696357850528846,0.2396273998968672,0.3092631849497518,1.0,0.0001999600079984,0.0001999600079984,8556.0,19.0,315.0,1654.0,0.1950717651861766,0.4434689093939796,-0.1172357421005481,-0.0340699790230056,0.1396994461273309,0.3483449691982662,0.1947595091397585,0.4388091832292704,10.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0360986825643763,0.3441971272727919,0.3080984447084156,0.113028295901468,0.1131892704346276,0.0001609745331596,-0.0769296133370927,0.2310078568381633,0.307937470175256,1.0,0.0001999600079984,0.0001999600079984,6412.0,19.0,239.0,1279.0,0.1911765337020929,0.4447237491794256,-0.1326103808185331,-0.0360228011983174,0.1369996817218569,0.3380446300535574,0.1917705059596419,0.4445078513400098,20.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0330731498832076,0.3445758076692501,0.3115026577860424,0.1134307763041232,0.1134893134395005,5.853713537729706e-05,-0.0803576264209159,0.2310864942297492,0.3114441206506651,1.0,0.0001999600079984,0.0001999600079984,5136.0,19.0,190.0,1072.0,0.1928035709917546,0.4506605370079321,-0.1380652508754893,-0.0390506443190338,0.1313881697481734,0.3402020330487584,0.1909086597630762,0.4513217682128851,30.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0344389221818087,0.3524771325952301,0.3180382104134214,0.1133453455648044,0.1136088140748831,0.0002634685100786,-0.0789064233829958,0.2388683185203469,0.3177747419033427,1.0,0.0001999600079984,0.0001999600079984,4184.0,19.0,160.0,904.0,0.1954895026878198,0.4578816643575892,-0.1361902632238547,-0.037799098790251,0.1404366559707988,0.3487717190597371,0.1947032023779873,0.4534922108775711,40.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0363686381166282,0.3604758250169803,0.324107186900352,0.1131185653976848,0.1133875448163028,0.000268979418618,-0.076749927281057,0.247088280200677,0.3238382074817342,0.9998000399920016,0.0001999600079984,0.0001999600079984,3482.0,19.0,146.0,814.0,0.2043130911919374,0.4589100882622402,-0.1354726211344804,-0.0358410944387696,0.150024261222921,0.3548347960944545,0.2039576904805788,0.4589120296328864,50.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0579244920369575,0.3535946862441164,0.2956701942071588,0.112381731322217,0.1126005457455015,0.0002188144232845,-0.0544572392852591,0.2409941404986151,0.2954513797838743,0.9846030793841232,0.0001999600079984,0.0001999600079984,2293.0,19.0,110.0,559.0,0.1924278187446419,0.4155337692568555,-0.083172505954718,-0.0283378077531742,0.1443929244672094,0.3499872744233342,0.1913759483137452,0.4156587043833882,75.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.067179036712927,0.3650476625194971,0.2978686258065701,0.1118746200161637,0.112591215083071,0.0007165950669072,-0.0446955833032372,0.2524564474364255,0.2971520307396627,0.956008798240352,0.0001999600079984,0.0001999600079984,1602.0,19.0,90.0,418.0,0.1918453469226279,0.4167389427495316,-0.0728672884488239,-0.0189726120588105,0.1503365794718137,0.3629026785709522,0.1915404814685387,0.4170653001797042,100.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0738182369281321,0.3808865608317575,0.3070683239036254,0.1186842206595671,0.1186359092680959,-4.831139147119004e-05,-0.0448659837314347,0.2622506515636618,0.3071166352950966,0.9606078784243152,0.0001999600079984,0.0001999600079984,968.0,18.0,59.0,280.0,0.1960332571893774,0.4306049165642058,-0.074479629731601,-0.0188343178402193,0.1592647724255444,0.3764962414125409,0.1962709924889845,0.432001823948014,150.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0785639850586074,0.4157963742450908,0.3372323891864834,0.1204682641813205,0.1197984208729262,-0.0006698433083942,-0.0419042791227126,0.2959979533721649,0.3379022324948775,0.9012197560487902,0.0001999600079984,0.0001999600079984,702.0,18.0,45.0,207.0,0.2201943975267083,0.4627548122769427,-0.0700649012049653,-0.0159069693232895,0.1881726524882347,0.4125661705182454,0.2209016713386409,0.4628238295135267,200.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0786209647263582,0.4609509596870095,0.3823299949606513,0.1223863840717331,0.1220359152078006,-0.0003504688639325,-0.0437654193453757,0.3389150444792081,0.3826804638245838,0.905618876224755,0.0001999600079984,0.0001999600079984,442.0,18.0,33.0,141.0,0.2368634391539869,0.5365094170577714,-0.0801702384013133,-0.0107845736168753,0.2030030027063997,0.486710816051712,0.2371401164858055,0.5377531384245959,300.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0536457162225436,0.4694536553529878,0.4158079391304441,0.1179186761771457,0.1184524097327515,0.0005337335556058,-0.0642729599546014,0.3510012456202369,0.4152742055748384,0.9368126374725056,0.0001999600079984,0.0001999600079984,264.0,18.0,18.0,81.0,0.2427706571678507,0.5977133308571849,-0.1280826868016022,-0.0179869684861911,0.1964715840830191,0.5135626926952898,0.2407355090498026,0.5957814225343656,500.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0692817438812989,0.4218786992405828,0.3525969553592838,0.1148854525789444,0.1148566253851752,-2.8827193769166918e-05,-0.0456037086976448,0.3070220738554081,0.352625782553053,0.883623275344931,0.0001999600079984,0.0001999600079984,188.0,18.0,14.0,49.0,0.1909273216415411,0.527544802867383,-0.074688889066951,-0.0167296340914303,0.1566148771887261,0.4687663325227615,0.1911021873972557,0.5328431269656482,750.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0761166653749774,0.3978585637153412,0.3217418983403637,0.1209935629956857,0.1207688377379937,-0.000224725257692,-0.0448768976207075,0.2770897259773485,0.321966623598056,0.850629874025195,0.0001999600079984,0.0001999600079984,139.0,17.0,11.0,36.0,0.1529555003819709,0.5097016843628096,-0.0800260004456324,-0.0078482624389657,0.121905925200122,0.4506325540018382,0.1518078246171989,0.5091317956815131,1000.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.068172268907563,0.374812490785788,0.306640221878225,0.1186648428055432,0.1191805425328026,0.0005156997272593,-0.0504925738979794,0.2556319482529862,0.3061245221509656,0.8250349930013997,0.0001999600079984,0.0001999600079984,106.0,16.0,7.0,28.0,0.1276536930561698,0.4992888125644993,-0.1278773167293222,0.020402654559194,0.1107392173793871,0.4120090574022378,0.1237795797029337,0.5017327770091589,1500.0,0.002999400119976,1.0,0.005998800239952,True,False,True,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
