track_id,segment_id,Time,Lat,Lon,orig_idx,edge_start_orig_idx,edge_end_orig_idx,interpolation_fraction_on_edge,logCHL,position,event_key,orig_idx_num,is_step_start,is_endpoint,is_trigger,use_for_movement_step,is_post_endpoint_to_trigger,minutes,radial_km,strict_record,path_chl_rank,selection_rule,panel,record_type,dataset,scale_m,family,estimand,events,units,segments,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_one_sided,phase_reps,bootstrap_reps,rho_tau_distinct_cell_fraction,holm_phase_p,positive_support,replicate,rho_chl_support,rho_chl_median_log_length
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:26:00,-45.191265827737226,39.509646867153286,2558.0,2558.0,2558.0,0.0,-1.5445404566323349,2558.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2558.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,True,0.9047619047619048,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:28:00,-45.20343690769231,39.49983870769231,2559.0,2559.0,2559.0,0.0,-1.5606494485577604,2559.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2559.0,0.0,0.0,0.0,1.0,0.0,2.0,1.556349164461614,True,0.8095238095238095,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:30:00,-45.21770051969697,39.49566416515151,2560.0,2560.0,2560.0,0.0,-1.571190179934795,2560.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2560.0,0.0,0.0,0.0,1.0,0.0,4.0,3.136909857337256,True,0.6666666666666666,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:32:00,-45.228899156060606,39.485809346969695,2561.0,2561.0,2561.0,0.0,-1.588064768065357,2561.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2561.0,0.0,0.0,0.0,1.0,0.0,6.0,4.582394425493012,True,0.3809523809523809,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:34:00,-45.23901907105263,39.4922954868421,2562.0,2562.0,2562.0,0.0,-1.580679754989187,2562.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2562.0,0.0,0.0,0.0,1.0,0.0,8.0,5.481113227202346,True,0.5714285714285714,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:36:00,-45.24960934032258,39.50997286451613,2563.0,2563.0,2563.0,0.0,-1.5616606711499057,2563.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2563.0,0.0,0.0,0.0,1.0,0.0,10.0,6.487561809403238,True,0.7619047619047619,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:38:00,-45.24920389193548,39.52861456129032,2564.0,2564.0,2564.0,0.0,-1.543867170563347,2564.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2564.0,0.0,0.0,0.0,1.0,0.0,12.0,6.611501857564327,True,0.9523809523809524,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:40:00,-45.257388269354834,39.54011489193548,2565.0,2565.0,2565.0,0.0,-1.5389101363707312,2565.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2565.0,0.0,0.0,0.0,1.0,0.0,14.0,7.730012024965188,True,1.0,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:42:00,-45.27094274032258,39.53777402741936,2566.0,2566.0,2566.0,0.0,-1.5458760325718333,2566.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2566.0,0.0,0.0,0.0,1.0,0.0,16.0,9.129371839138813,True,0.8571428571428571,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
WA_Centurion20172018CRO15321_GPSdata_RS.xlsx,0.0,2018-02-20 02:44:00,-45.28371103064516,39.52786516451613,2567.0,2567.0,2567.0,0.0,-1.5630775216711292,2567.0,WA_Centurion20172018CRO15321_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|100,2567.0,0.0,0.0,0.0,1.0,0.0,18.0,10.377958334528772,True,0.7142857142857143,highest L_union+C_union among eligible 7-25-run events; first candidate with dense rho and tau support,a,candidate_boundary_example,,,,,,,,,,,,,,,,,,,,
